Row,Clone,Markers,Sex
NP9-9,1019,0,F
NP9-7,1019,0,F
NP9-3,1017,1,M
NP9-29,1019-C,0,F
NP9-28,1007-C,1,F
NP9-27,1007,1,F
NP9-25,1019,0,F
NP9-24,999-18,4,F
NP9-23,T1-B,1,
NP9-22,1023-C,1,M
NP9-21,T6-A,4,
NP9-20,999-2,4,F
NP9-19,T3-D,,
NP9-18,1000,0,F
NP9-17,1023-C,1,M
NP9-16,1000-C,0,F
NP9-15,1019-C,0,F
NP9-14,1000,0,F
NP9-10,996,1,F
NP9-1,1012,1,F
NP8-6,1012,1,F
NP8-4,1000,0,F
NP8-35,996,1,F
NP8-34,1000,0,F
NP8-33,1000-C,0,F
NP8-32,1023-C,1,M
NP8-31,1008,0,F
NP8-30,996,1,F
NP8-29,1019,0,F
NP8-28,1023,1,M
NP8-27,1019-C,0,F
NP8-26,T1-A,1,
NP8-25,T1-A,1,
NP8-24,999-13,4,F
NP8-23,T6-B,4,F
NP8-22,999-18,4,F
NP8-21,T3-D,,
NP8-20,1000-C,0,F
NP8-19,1007-C,1,F
NP8-18,996,1,F
NP8-17,1023-C,1,M
NP8-16,1023,1,M
NP8-15,1000-C,0,F
NP8-13,996,1,F
NP8-10,999-17,4,F
NP7-7,1000,0,F
NP7-6,1017,1,M
NP7-5,1017,1,M
NP7-39,11-C,6,M
NP7-38,996,1,F
NP7-37,1019,0,F
NP7-35,1000-C,0,F
NP7-34,996-C,1,F
NP7-32,1981,13 (F1-MRPH),F
NP7-30,1979,13 (F1-MRPH),F
NP7-29,1007-C,1,F
NP7-28,1008-C,0,F
NP7-27,1000,0,F
NP7-26,996-C,1,F
NP7-25,999-13,4,F
NP7-24,999-16,4,F
NP7-23,T5-A,4,
NP7-22,999-29,4,F
NP7-21,999-1,4,F
NP7-20,T6-A,4,
NP7-19,1019,0,F
NP7-18,1008,0,F
NP7-17,996-C,1,F
NP7-16,1019,0,F
NP7-15,996,1,F
NP7-14,1008,0,F
NP6-9,1008,0,F
NP6-8,999-15,4,F
NP6-6,1019,0,F
NP6-5,1023,1,M
NP6-44,996,1,F
NP6-42,1023,1,M
NP6-41,996,1,F
NP6-39,1000,0,F
NP6-38,1023,1,M
NP6-35,1000-C,0,F
NP6-33,1007,1,F
NP6-32,1023,1,M
NP6-31,1008,0,F
NP6-30,1007-C,1,F
NP6-29,11-C,,
NP6-28,10,2,F
NP6-27,989-3,34 (F1),F
NP6-26,1007,1,F
NP6-24,999-15,4,F
NP6-22,T1-A,1,
NP6-21,T5-B,4,
NP6-20,T1-B,1,
NP6-19,T6-B,4,
NP6-18,1019-C,0,F
NP6-17,1023-C,1,M
NP6-16,1007-C,1,F
NP6-15,1008,0,F
NP6-13,1000-C,0,F
NP5-9,1007C,1,F
NP5-8,1019C,0,F
NP5-7,996,1,F
NP5-45,1981,,
NP5-43,10,2,F
NP5-38,1007,1,F
NP5-36,1019,0,F
NP5-35,1000,0,F
NP5-34,1008,0,F
NP5-33,1023,1,M
NP5-32,10,2,F
NP5-31,1008,0,FF
NP5-30,1007,1,F
NP5-29,11-C,6,M
NP5-28,1008,0,F
NP5-25,996,1,F
NP5-24,1981,34 (F1),F
NP5-22,1000,0,F
NP5-19,1981,34 (F1),F
NP5-15,999-29,4,F
NP5-14,999-12,4,F
NP5-13,T3-C,,
NP5-12,996C,1,F
NP5-11,1000,0,F
NP5-10,1007,1,F
NP4-9,1008,0,F
NP4-8,1023,1,M
NP4-7,1023C,1,M
NP4-46,989-3,31 (F1),F
NP4-41,1008,0,F
NP4-40,10,2,F
NP4-4,1017,1,M
NP4-39,1000,0,F
NP4-38,10,2,F
NP4-37,1008,0,F
NP4-36,11-C,6,M
NP4-35,1007,1,F
NP4-34,1019,0,F
NP4-33,996,1,F
NP4-32,1000,0,F
NP4-31,996C,1,F
NP4-30,996,1,F
NP4-28,1000,0,F
NP4-27,1017,1,M
NP4-26,1023,1,M
NP4-25,1000C,0,F
NP4-24,996C,1,F
NP4-23,1023,1,M
NP4-22,1979,13 (F1-MRPH),F
NP4-21,1000C,,F
NP4-20,1007C,,F
NP4-18,T6-B,4,
NP4-17,T1-C,1,
NP4-16,T5-A,4,
NP4-15,T5-B,4,
NP4-14,TI-C,1,
NP4-13,1008,0,F
NP4-12,1023,1,M
NP4-11,1023C,1,M
NP3-9,1008,0,F
NP3-8,996C,1,F
NP3-7,1019C,0,F
NP3-6,1000C,0,F
NP3-45,1937,30 (WEIRD),M
NP3-44,1935,34 (F1),M
NP3-40,996,1,F
NP3-38,1008,0,F
NP3-37,996,1,F
NP3-36,1000,0,F
NP3-35,1007,1,F
NP3-34,1008,0,F
NP3-33,996,1,F
NP3-31,1007,1,F
NP3-30,1023,1,M
NP3-29,1007,1,F
NP3-28,1007C,1,F
NP3-27,1007,1,F
NP3-26,989-3,34 (F1),F
NP3-25,996C,1,F
NP3-24,1019C,0,F
NP3-23,996,1,F
NP3-22,1008,0,F
NP3-21,1981,34 (F1),F
NP3-19,1019,0,F
NP3-18,999-2,4,F
NP3-17,T5-A,4,
NP3-16,T5-B,4,
NP3-15,999-18,4,F
NP3-14,T1A,1,
NP3-13,T1A,1,
NP3-12,1000,0,F
NP3-11,1019,0,F
NP3-10,unknown,,
NP2-9,1019C,0,F
NP2-8,996,1,F
NP2-7,1000,0,F
NP2-6,1019,0,F
NP2-5,1012,1,F
NP2-45,1981,34 (F1),F
NP2-4,1000C,0,F
NP2-39,996,1,F
NP2-37,1023,1,M
NP2-36,1019,0,F
NP2-35,996,1,F
NP2-34,1000,0,F
NP2-33,1023,1,M
NP2-32,1000,0,F
NP2-31,11-C,6,M
NP2-30,10,2,F
NP2-29,1000,0,
NP2-28,1023C,1,M
NP2-27,1023,1,M
NP2-25,996,1,F
NP2-24,1019,0,F
NP2-22,1000C,0,F
NP2-21,1000,0,F
NP2-20,989-3,31 (F1),F
NP2-19,1019C,0,F
NP2-18,999-23,4,F
NP2-17,T3-D,,
NP2-16,999-15,4,F
NP2-15,T1-B,1,
NP2-14,999-12,4,F
NP2-13,1007,1,F
NP2-12,996C,1,F
NP2-11,1007C,1,F
NP2-10,996,1,F
NP15-4,1023,1,M
NP14-1,1981,34 (F1),F
NP13-9,1008,0,F
NP13-8,1000,0,F
NP13-7,1019,0,F
NP13-6,1023,1,M
NP13-4,996,1,F
NP13-11,1012,1,F
NP13-10,1017,1,M
NP12-9,1023,1,M
NP12-8,1019,0,F
NP12-7,1017,1,M
NP12-6,989-3,31 (F1),F
NP12-5,1981,34 (F1),F
NP12-4,1017,1,M
NP11-9,1000,0,F
NP11-7,996,1,F
NP11-6,1012,1,F
NP11-2,1000,0,F
NP11-19,996,1,F
NP11-18,1019,0,F
NP11-17,996-C,1,F
NP11-16,1023,1,M
NP11-15,996-C,1,F
NP11-13,996-C,1,F
NP11-10,1023,1,M
NP11-1,1000-A,0,F
NP10-7,1008,0,F
NP10-26,999-1,4,F
NP10-25,999-13,4,F
NP10-24,T3-C,,
NP10-23,999-15,4,F
NP10-22,T1-C,1,
NP10-21,T3-C,,
NP10-20,1023,1,M
NP10-19,1008,0,F
NP10-18,1012,1,F
NP10-16,1023-C,1,M
NP10-12,T6-B,4,
NP10-10,996-C,1,F
NP1-9,1935,34 (F1),M
NP1-8,1981,34 (F1),
NP1-6,989-3,31 (F1),F
NP1-5,1979,13 (F1-MRPH),F
NP1-43,1979,13 (F1-MRPH),F
NP1-40,1981,31 (F1),F
NP1-39,989-3,31 (F1),F
NP1-37,1979,13 (F1-MRPH),F
NP1-36,989-3,31 (F1),F
NP1-35,1981,34 (F1),F
NP1-34,1937,30 (WEIRD),M
NP1-33,1935,34 (F1),M
NP1-31,1979,13 (F1-MRPH),F
NP1-30,1937,30 (WEIRD),M
NP1-29,989-3,31 (F1),F
NP1-28,1981,34 (F1),
NP1-27,1935,34 (F1),M
NP1-26,989-3,31 (F1),F
NP1-24,1981,34 (F1),
NP1-23,1935,34 (F1),M
NP1-22,1981,34 (F1),
NP1-20,967,1,
NP1-2,1981,34 (F1),
NP1-19,1979,13 (F1-MRPH),F
NP1-17,996,1,F
NP1-14,1935,34 (F1),
NP1-13,1979,13 (F1-MRPH),
NP1-12,989-3,31 (F1),
NP1-11,1981,34 (F1),
NP1-10,1979,13 (F1-MRPH),
DEAD,1979,,
DEAD,1937,,
DEAD,989-3,,
DEAD,989-3,,
DEAD,,,
DEAD,,,
DEAD,,,
DEAD,1979,,
DEAD,1937,,
DEAD,967,,
DEAD,1937,,
DEAD,1937,,
DEAD,1935,,
DEAD,T5-B,,
DEAD,996C,,
DEAD,3201,,
DEAD,1023,,
DEAD,996C,,
DEAD,1019-C,,
DEAD,1019,,
DEAD,1019,,
DEAD,1023,,
DEAD,10,,
DEAD,1019,,
DEAD,1017,,
DEAD,999-13,,
DEAD,1023,,
DEAD,1019,,
DEAD,1019C,,
DEAD,1000,,
DEAD,999-12,,
DEAD,999-2,,
DEAD,T6-A,,
DEAD,1019C,,
DEAD,1937,,
DEAD,1023C,,
DEAD,996-C,,
DEAD,1019,,
DEAD,1008,,
DEAD,1023,,
DEAD,1000,,
DEAD,1023,,
DEAD,1007,,
DEAD,1979,,
DEAD,1023,,
DEAD,1000,,
DEAD,1023,,
DEAD,1019,,
DEAD,996-C,,
DEAD,1019,,
DEAD,3201,,
DEAD,1023,,
DEAD,100,,
DEAD,1007-C,,
DEAD,989-3,,
DEAD,1023-C,,
DEAD,1000,,
DEAD,10-C,,
DEAD,1981,,
DEAD,3201,,
DEAD,1023,,
DEAD,996,,
DEAD,1008,,
DEAD,T6-B,,
DEAD,3201,,
DEAD,1007-C,,
DEAD,1023-C,,
DEAD,996,,
DEAD,1012,,
DEAD,1008,,
DEAD,1017,,
DEAD,1000,,
DEAD,1023,,
DEAD,1019,,
DEAD,1019,,
DEAD,1000,,
DEAD,1012,,
DEAD,996,,
DEAD,1017,,
DEAD,1012,,
DEAD,1023,,
DEAD,1017,,
DEAD,996,,
DEAD,1019,,
DEAD,1000,,
DEAD,1937,,
DEAD,1008,,
DEAD,1007,,
DEAD,10,,
DEAD,1000,,
DEAD,1007,,
DEAD,996,,
DEAD,1981-C,,
DEAD,3201,,
DEAD,1000,,
DEAD,T5-A,,
DEAD,996,,
DEAD,1008,,
DEAD,1019,,
DEAD,999-18,4,F
DEAD,1000C,,
DEAD,996,,
DEAD,1019,,
DEAD,1008,,
DEAD,1981C,,
DEAD,1019,,
DEAD,1012,,
DEAD,1008,,
DEAD,996,,
DEAD,1000,,
DEAD,996-C,,
DEAD,T5-B,,
DEAD,T5-A,,
DEAD,1023,,
DEAD,T3-D,,
DEAD,1937,,
DEAD,1017,,
DEAD,1023,,
DEAD,1019,,
DEAD,1019,,
DEAD,1000,,
DEAD,996,,
DEAD,1017,,
DEAD,996,,
DEAD,996,,
DEAD,1000,,
DEAD,1023,,
DEAD,1000,,
DEAD,999-12,,
DEAD,1019,,
DEAD,1023,,
DEAD,989Ñ3,,
DEAD,1008,,
DEAD,1019,,
DEAD,1017,,
DEAD,996,,
DEAD,1000,,
DEAD,1012,,
DEAD,1008,,
DEAD,1019,,
DEAD,1008,,
DEAD,1023,,
DEAD,1006,,
DEAD,1007-C,,
DEAD,1935,,
DEAD,1937,,
DEAD,1012,,
DEAD,996,,
DEAD,1008,,
DEAD,1019, ,
DEAD,1008,,
DEAD,1000,,
DEAD,1012,,
