"","SES","lower.p","upper.p"
"live np12.4",1.60987969933565,0.9994,0.0072
"live np12.7",-0.274948255935724,0.3696,0.6508
"live np13.10",1.08939064774699,0.9004,0.1106
"live np2.10",1.06095652134573,0.8986,0.1324
"live np2.21",1.53574050272398,0.9626,0.0424
"live np2.27",-0.358516687412805,0.381,0.6206
"live np2.31",1.23435057932954,0.9052,0.1052
"live np2.34",1.83979025848106,0.9892,0.0154
"live np2.7",-0.322609562740736,0.384,0.6246
"live np2.8",1.55799667684827,0.9906,0.0186
"live np3.12",1.19319790402282,0.9278,0.0992
"live np3.36",0.743165601736451,0.77,0.2542
"live np3.9",0.927194447143567,0.8314,0.1816
"live np4.13",-0.409186606939328,0.3264,0.6872
"live np4.18",1.30401668947617,0.932,0.0748
"live np4.23",-0.30481707595446,0.3692,0.6352
"live np4.30",-0.320798150709894,0.3402,0.6782
"live np4.33",0.631409025813,0.714,0.296
"live np4.36",2.01978878846037,0.9902,0.0106
"live np4.37",0.329151874351097,0.5932,0.4276
"live np4.8",2.30762059320359,0.9998,2e-04
"live np5.25",0.454809612086718,0.6726,0.3356
"live np5.28",-0.421761280237023,0.3192,0.6862
"live np5.29",1.00297904469403,0.8526,0.1596
"live np6.19",-1.04026173887372,0.154,0.854
"live np6.29",1.56918621296962,0.9764,0.0278
"live np6.38",1.61737694759078,0.987,0.0166
"live np6.5",-3.11259541865101,0.0028,0.9972
"live np6.9",1.23142295228955,0.908,0.099
"live np7.39",1.48298699468972,0.9564,0.047
"live np7.5",1.11915267658051,0.8906,0.1286
"live np7.6",2.02436553887538,0.9934,0.0102
"live np7.7",2.49489702216434,0.9984,0.002
"live np8.22",1.63838966672836,0.9888,0.017
"live np9.21",-0.380257627532636,0.336,0.6764
"sen np12.4",1.94381679171519,0.9992,0.0044
"sen np12.7",-0.0295113590109209,0.4986,0.5214
"sen np13.10",NA,NA,NA
"sen np2.10",1.94059636714362,0.9998,2e-04
"sen np2.21",-1.02235038314452,0.2046,0.8386
"sen np2.27",NA,1,1
"sen np2.31",1.25426054423532,0.925,0.0912
"sen np2.34",-0.824110220444536,0.282,0.8904
"sen np2.7",-0.588619795890256,0.3126,0.766
"sen np2.8",NA,NA,NA
"sen np3.12",NA,NA,NA
"sen np3.36",1.70220537990763,1,0.014
"sen np3.9",2.11988323340166,0.9982,0.0032
"sen np4.13",-0.91581009455412,0.1912,0.823
"sen np4.18",1.33712582538612,0.956,0.0748
"sen np4.23",-0.884326359330978,0.1898,0.8184
"sen np4.30",0.756822304767708,0.8084,0.2598
"sen np4.33",NA,NA,NA
"sen np4.36",0.133509012887681,0.546,0.4748
"sen np4.37",0.636547615267447,0.8002,0.4114
"sen np4.8",-1.67785578258863,0.0564,0.9462
"sen np5.25",-0.131787953154089,0.4204,0.5988
"sen np5.28",0.337495611163711,0.6258,0.4684
"sen np5.29",-2.36854514980216,0.0116,0.9884
"sen np6.19",0.769444291593422,0.7642,0.2684
"sen np6.29",0.868698211153357,0.8102,0.2006
"sen np6.38",-2.76249575452608,0.0134,0.988
"sen np6.5",1.00325957329776,0.8512,0.1674
"sen np6.9",-0.28874390556247,0.3666,0.6702
"sen np7.39",1.34406837354657,0.9284,0.0846
"sen np7.5",-5.20529673188267,2e-04,0.9998
"sen np7.6",-2.95065799352464,0.0046,0.9954
"sen np7.7",0.717981396879031,0.7442,0.2686
"sen np8.22",1.19766491667128,0.906,0.094
"sen np9.21",0.573242122647629,0.709,0.3668
