"","SES","lower.p","upper.p"
"np12.4",1.86089464825605,0.9984,0.003
"np12.7",-1.44203545532094,0.084,0.918
"np13.10",1.74617100804993,1,0
"np2.10",0.595860077950471,0.7098,0.3184
"np2.21",-0.367231181925878,0.3378,0.6728
"np2.27",-2.24285043777552,0.0204,0.9798
"np2.31",0.775211331529834,0.7762,0.2322
"np2.34",-1.66985836679455,0.0664,0.9396
"np2.7",-1.22027129007312,0.1274,0.8748
"np2.8",0.254187009996971,0.5674,0.4838
"np3.12",1.60123145385308,0.9804,0.0236
"np3.36",0.354572301677753,0.6174,0.399
"np3.9",0.795055321413246,0.7832,0.2256
"np4.13",1.99527966964158,0.9828,0.0178
"np4.18",1.43940898848061,0.9526,0.0506
"np4.23",1.52846405940462,0.9396,0.0624
"np4.30",1.94291781298738,1,0
"np4.33",-1.96048056856249,0.0492,0.9598
"np4.36",1.29575793186285,0.9032,0.0982
"np4.37",1.28537787061438,0.9098,0.0958
"np4.8",-0.633713575002353,0.2418,0.7646
"np5.25",0.275177422921458,0.5848,0.4206
"np5.28",-0.778697157761141,0.2084,0.8002
"np5.29",-2.16288875779657,0.023,0.9772
"np6.19",-1.4429596597869,0.0814,0.921
"np6.29",1.12441259279065,0.8768,0.1254
"np6.38",0.273921019420013,0.5954,0.4106
"np6.5",-0.528075721703758,0.2858,0.7172
"np6.9",1.47436163779532,0.9388,0.0634
"np7.39",-0.848838666922144,0.1948,0.8082
"np7.5",-0.572020277838249,0.2716,0.7322
"np7.6",-1.72411323325824,0.0542,0.9478
"np7.7",1.07890234037112,0.871,0.1336
"np8.22",2.01715233453474,0.9996,0.001
"np9.21",-0.70393346899051,0.2244,0.7826
