tree,shoot,leaf,pb.gall,pb.abort,phyllo,roll,sp4,sp5,mid.holes,excentric,spot,chomp,edge,stem.gall,tip.chew,tier,round.petiole.gall,edge.miner,tip.miner,lacy,edge.pinch
N4.26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N4.26,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N4.26,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N4.26,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N4.26,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N4.26,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4.26,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
