ALL LOCI	10	1000	1005	1007	1008	1012	1014	1017	1018	1019	1020	1023	11	13	18	1991	1992	2001	2017	2028	3200	996	998	999	COAL1	COAL3	EC1	EC2	EC3	EC4	H10	HE1	HE10	HE2	HE4	HE8	KSU6	NUL	NUN	P2	PEOA2	RL1	RL2	RL6	RM2	RM4	RM5	RM7	T15	T2	T21	T48	T6	WC1	WC3	WC4	WC5	WH-2	WH-3	XSU1
10		0.5978	-0.3694	0.3046	0.4295	0.1290	-0.0763	0.4140	-0.0978	0.0412	0.6415	-0.0770	0.0985	0.1626	-2.6922	0.2614	-0.1723	0.1733	0.0987	-0.3219	0.6542	0.0834	0.5742	-0.4804	-0.1706	0.5341	0.0807	0.0794	-0.1223	0.0794	0.0957	0.3098	-0.0706	-0.1428	-0.3112	0.2634	-0.0993	-1.0806	-0.7106	-0.1878	0.5367	0.2245	-0.1918	0.4287	0.3201	-0.1078	0.0265	0.2537	0.0025	-0.1533	0.4089	0.0350	0.1633	-0.3433	-0.3646	0.6749	0.6610	-1.0772	-1.7810	0.5187
1000	0.5978		0.3338	1.0000	0.6036	0.7779	-0.0606	0.5948	0.2165	0.7393	0.8216	0.5505	0.1441	0.2180	-2.3786	0.5507	0.3975	-0.0256	0.7582	-0.4373	0.8320	0.1982	1.0000	0.2603	0.4638	0.5794	0.7436	0.7779	0.6169	0.7779	-0.6237	0.3625	0.5558	0.6115	0.3888	0.3402	0.6273	-0.4786	0.1097	0.1159	0.5793	0.7686	-0.0079	0.0526	0.7672	0.5558	0.5558	0.3761	0.8390	0.2601	1.0000	0.7233	0.7754	-0.0858	-0.1540	0.8319	0.8368	-1.3568	-2.2862	0.7801
1005	-0.3694	0.3338		0.6632	0.6033	0.4936	0.3124	0.5884	0.1225	0.8103	0.4754	0.8005	-0.5179	-0.1011	-2.0324	-0.3918	-0.1799	-0.5805	0.2187	-0.8746	-0.1537	0.3344	0.1601	0.5152	-0.1481	0.5637	0.4819	-0.0436	0.3152	-0.0436	-0.4940	0.0195	-0.0041	0.3005	0.0718	0.3800	0.3004	-0.7711	0.0665	-0.2038	0.5711	-0.4175	-0.2098	0.0831	0.2530	0.8027	-0.3007	0.0044	0.3152	0.0467	0.1540	-0.0088	0.2859	0.6480	-0.4463	0.1273	-0.1218	-1.5852	-2.3984	0.5293
1007	0.3046	1.0000	0.6632		0.8678	0.7632	0.3697	0.6866	0.3999	1.0000	0.8251	0.8300	0.1902	0.3926	-1.6008	0.4803	0.3638	-0.1814	0.8205	-0.3079	0.2969	0.1512	0.8245	0.4536	-0.0267	0.6712	0.6508	0.2820	0.5009	0.2820	-0.2661	0.3014	0.4947	0.4954	0.3264	0.4646	0.7077	-0.3344	0.3461	-0.0645	0.6713	0.1796	-0.2839	0.2526	0.8255	0.8316	-0.0032	0.5203	0.6480	-0.0671	0.8316	0.6039	0.6602	-0.1900	-0.2424	0.6568	0.3143	-0.9110	-2.0297	0.8328
1008	0.4295	0.6036	0.6033	0.8678		0.4048	0.5986	0.7306	0.2477	0.8550	1.0000	0.8300	-0.0526	0.4918	-1.6429	0.2314	-0.0348	0.0336	0.5443	-0.0455	0.3891	0.2746	0.6247	0.2217	-0.3158	0.7186	0.5920	0.0783	0.0135	0.0783	-0.0514	0.1204	0.1963	-0.0011	-0.1349	0.7331	0.2490	-0.6382	-0.0611	-0.3061	0.7195	0.0342	-0.3116	0.5859	0.5586	0.7355	-0.1254	0.6003	0.1074	-0.1600	0.5293	0.2743	0.3585	-0.3399	0.0734	0.7056	0.4019	-0.6464	-1.5922	0.8431
1012	0.1290	0.7779	0.4936	0.7632	0.4048		0.0899	0.8206	0.2353	0.7468	0.6503	0.1836	-0.3284	-0.0046	-2.6494	0.2310	-0.0763	-0.1345	0.4651	-0.3391	0.6703	0.0230	0.7716	0.4289	0.1608	0.3452	1.0000	1.0000	0.8419	1.0000	-0.8901	0.5610	0.2001	0.4200	0.5829	0.0769	0.4507	-0.8087	-0.2492	-0.1687	0.8106	0.5035	-0.2584	-0.2755	0.4939	0.1954	0.7468	0.1414	0.8419	0.0573	0.7834	0.3781	1.0000	0.0635	-0.5069	0.6700	0.6795	-2.0129	-2.4341	0.5708
1014	-0.0763	-0.0606	0.3124	0.3697	0.5986	0.0899		0.5860	0.0418	0.5070	0.4720	0.2291	-0.9070	0.3683	-1.4848	-0.4242	-0.1809	0.1303	0.3406	0.0378	0.0276	-0.0859	0.0170	-0.0653	-0.7615	0.2808	0.2218	-0.1741	-0.1715	-0.1741	-0.3219	-0.0926	-0.1766	-0.4896	-0.3333	0.1627	-0.1332	-0.5385	-0.4060	-0.7090	0.5717	-0.4052	-0.6554	-0.0317	0.0488	0.1589	-0.3188	0.4538	-0.1715	-0.5698	-0.0723	-0.0907	0.0520	-0.5106	-0.3283	0.2344	0.0421	-0.9258	-1.3697	0.6837
1017	0.4140	0.5948	0.5884	0.6866	0.7306	0.8206	0.5860		0.3769	0.7256	0.8251	0.4441	-0.0857	0.4793	-1.2721	0.2107	-0.0596	0.3029	0.5333	0.2776	0.3786	0.2597	0.6158	0.6166	-0.5403	0.7133	0.7008	0.3920	0.2834	0.3920	-0.0791	0.4107	0.1764	-0.0210	0.1354	0.3899	0.2341	-0.6810	-0.4650	-0.6014	1.0000	0.0133	-0.3430	0.2126	0.5481	0.3911	0.1417	0.5903	0.2834	-0.1848	0.5193	0.2550	0.7237	0.0635	-0.2179	0.7004	0.3919	-0.7062	-1.3568	0.8431
1018	-0.0978	0.2165	0.1225	0.3999	0.2477	0.2353	0.0418	0.3769		0.3033	0.1292	0.1145	-0.4311	0.0740	-0.8419	-0.0755	0.0638	-0.2452	0.2666	-0.4050	-0.0444	-0.1198	0.2134	0.0923	-0.3728	0.1925	0.1022	-0.0121	0.2252	-0.0121	-0.3204	0.0576	-0.2016	0.0494	0.1033	-0.2033	0.2982	-0.4644	-0.3160	-0.4270	0.3528	-0.1631	-0.3959	0.0027	0.2935	0.1225	-0.1477	0.1310	0.2252	-0.3146	0.2045	-0.1440	0.1968	-0.2585	-0.5419	0.1433	-0.0236	-0.9380	-1.2103	0.2204
1019	0.0412	0.7393	0.8103	1.0000	0.8550	0.7468	0.5070	0.7256	0.3033		0.8021	0.8083	-0.2970	0.2042	-2.0324	0.1438	0.1592	-0.2522	0.5944	-0.4429	0.1168	-0.0420	0.5707	0.3535	-0.1662	0.4804	0.8024	0.2278	0.5052	0.2278	-0.4711	0.2696	0.0944	0.2688	0.3047	0.3919	0.5539	-0.6458	0.2342	-0.1886	0.7141	-0.0574	-0.5167	0.1453	0.6114	0.8103	-0.0334	0.3232	0.5052	-0.3030	0.5711	0.2050	0.5663	-0.1884	-0.3900	0.4480	0.1401	-1.4438	-2.2950	0.6496
