"Tree","Geno","Branch","Shoot","Leaf","PB","Phyllo","Edge.Miner","Tip.Roller","Leaf.Tier","Edge.Miner","Tip.Miner","Grn.Chait","Spot.Blotch","Serp.Lf.Miner","PB.abort","Theca","Lep","Shot"
"N1.10",996,1,1,1,,,,,,,,,,,1,,,
"N1.10",996,1,1,2,,,,,,,,,,,1,,,
"N1.10",996,1,1,3,,,,,,,,,,,1,,,
"N1.10",996,1,1,4,,,,,,,,,,,1,,,
"N1.10",996,1,1,5,,,,,,,,,,,,,,
"N1.10",996,1,1,6,,,,,,,,,,,,,,
"N1.10",996,1,2,1,,,,,,,,,,,1,,,
"N1.10",996,1,2,2,,,,,,,,,,,1,,,
"N1.10",996,1,2,3,,,,,,,,,,,1,,,
"N1.10",996,1,2,4,,1,,,,,,,,,1,,,
"N1.10",996,1,2,5,,,,,,,,,,,,,,
"N1.10",996,1,3,1,,,,,,,,,,,,,,
"N1.10",996,1,3,2,,,,,,,,,,,,,,
"N1.10",996,1,3,3,,,,,,,,,,,1,,,
"N1.10",996,1,4,1,,,,,,,,,,,1,,,
"N1.10",996,1,4,2,,,,,,,,,,,1,,,
"N1.10",996,1,4,3,,,,,,,,,,,,,,
"N1.10",996,1,4,4,,,,,,,,,,,,,,
"N1.10",996,1,4,5,,,,,,,,,,,,,,
"N1.10",996,1,4,6,,,,,,,,,,,,,,
"N1.10",996,1,5,1,,,,,,,,,,,1,,,
"N1.10",996,1,5,2,,,,,,,,,,,1,,,
"N1.10",996,1,5,3,,,,,,,,,,,,,,
"N1.10",996,1,5,4,,,,,,,,,,,,,,
"N1.10",996,1,5,5,,,,,,,,,,,,,,
"N1.10",996,1,6,1,,,,,,,,,,,2,,,
"N1.10",996,1,6,2,,,,,,,,,,,,,,
"N1.10",996,1,6,3,,,,,,,,,,,,,,
"N1.10",996,1,6,4,,,,,,,,,,,,,,
"N1.10",996,1,6,5,,,,,,,,,,,,,,
"N1.10",996,1,7,1,,,,,,,,,,,,,,
"N1.10",996,1,7,2,,,,,,,,,,,1,,,
"N1.10",996,1,7,3,,,,,,,,,,,2,,,
"N1.10",996,1,7,4,,,,,,,,,,,1,,,
"N1.10",996,1,7,5,,,,,,,,,,,,,,
"N1.10",996,1,7,6,,,,,,,,,,,,,,
"N1.10",996,1,8,1,,,,,,,,,,,1,,,
"N1.10",996,1,8,2,,,,,,,,,,,1,,,
"N1.10",996,1,8,3,,,,,,,,,,,,,,
"N1.10",996,1,8,4,,,,,,,,,,,,,,
"N1.10",996,1,8,5,,,,,,,,,,,,,,
"N1.10",996,1,9,1,,,,,,,,,,,1,,,
"N1.10",996,1,9,2,,,,,,,,,,,1,,,
"N1.10",996,1,9,3,,,,,,,,,,,1,,,
"N1.10",996,1,9,4,,,,,,,,,,,,,,
"N1.10",996,1,9,5,,,,,,,,,,,,,,
"N1.10",996,1,10,1,,,,,,,,,,,1,,,
"N1.10",996,1,10,2,1,,,,,,,,,,,,,
"N1.10",996,1,10,3,,,,,,,,,,,,,,
"N1.10",996,1,10,4,,,,,,,,,,,,,,
"N2.31","WC5",1,1,1,,,,,,,,,,,,,,
"N2.31","WC5",1,1,2,,,,,,,,,,,,1,,
"N2.31","WC5",1,1,3,1,,,,,,,,,,,,1,
"N2.31","WC5",1,1,4,,,,,,,,,,,,,,
"N2.31","WC5",1,1,5,,,,,,,,,,,,,1,
"N2.31","WC5",1,1,6,,,,,,,,,,,,,,
"N2.31","WC5",1,1,7,,,,,,,,,,,,,,
"N2.31","WC5",1,1,8,,,,,,,,,,,,,,
"N2.31","WC5",1,2,1,,,,,,,,,,,,,,
"N2.31","WC5",1,2,2,1,,,,,,,,,,,,,
"N2.31","WC5",1,2,3,,,,,,,,,,,,,,
"N2.31","WC5",1,2,4,,,,,,,,,,,,,,
"N2.31","WC5",1,2,5,,,,,,,,,,,,,,
"N2.31","WC5",1,2,6,,,,,,,,,,,,,,
"N2.31","WC5",1,2,7,,,,,,,,,,,,,,
"N2.31","WC5",1,3,1,,,,,,,,,,,1,,,
"N2.31","WC5",1,3,2,1,,,,,,,,,,,,,
"N2.31","WC5",1,3,3,,1,,,,,,,,,,,,
"N2.31","WC5",1,3,4,,,,,,,,,,,,,,
"N2.31","WC5",1,3,5,,,,,,,,,,,,,,
"N2.31","WC5",1,3,6,,,,,,,,,,,,,,
"N2.31","WC5",1,3,7,,,,,,,,,,,,,,
"N2.31","WC5",1,4,1,,,,,,,,,,,,,,
"N2.31","WC5",1,4,2,,,,,,,,,,,,,,
"N2.31","WC5",1,4,3,,,,,,,,,,,,,,
"N2.31","WC5",1,4,4,,,,,,,,,,,,,,
"N2.31","WC5",1,4,5,,,,,,,,,,,,,,
"N2.31","WC5",1,5,1,,,,,,,,,,,,,,
"N2.31","WC5",1,5,2,,,,,,,,,,,,,,
"N2.31","WC5",1,5,3,,,,,,,,,,,,,,
"N2.31","WC5",1,5,4,,1,,,,,,,,,,,,
"N2.31","WC5",1,5,5,,,,,,,,,,,,,1,
"N2.31","WC5",1,5,6,,,,,,,,,,,,,1,
"N2.31","WC5",1,5,7,,,,,,,,,,,,,,
"N2.31","WC5",1,6,1,,,,,,,,,,,,,,
"N2.31","WC5",1,6,2,,,,,,,,,,,,,,
"N2.31","WC5",1,6,3,,,,,,,,,,,,,,
"N2.31","WC5",1,6,3,,,,,,,,,,,,,,
"N2.31","WC5",1,6,4,,,,,,,,,,,,,,
"N2.31","WC5",1,6,5,1,,,,,,,,,,,,,
"N2.31","WC5",1,6,6,1,,,,,,,,,,,,,
"N2.31","WC5",1,6,7,,,,,,,,,,,,,,
"N2.31","WC5",1,6,8,,,,,,,,,,,,,,
"N2.31","WC5",1,6,9,,,,,,,,,,,,,,
"N2.31","WC5",1,6,10,,,,,,,,,,,,,,
"N2.31","WC5",1,7,1,,,,,,,,,,,,,,
"N2.31","WC5",1,7,2,,,,,,,,,,,,,1,
"N2.31","WC5",1,7,3,,,,,,,,,,,1,,,
"N2.31","WC5",1,7,4,,,,,,,,,,,,,,
"N2.31","WC5",1,7,5,,,,,,,,,,,,,,
"N2.31","WC5",1,8,1,,,,,,,,,,,1,,,
"N1.31",1008,1,1,1,,,,,,,,,,,,,,
"N1.31",1008,1,1,2,,,,,,,,,,,,,,
"N1.31",1008,1,1,3,,,,,,,,,,,1,,,
"N1.31",1008,1,1,4,,,,,,,,,,,,,,
"N1.31",1008,1,1,5,,,,,,,,,,,,,,
"N1.31",1008,1,1,6,,1,,,,,,,,,,,,
"N1.31",1008,1,1,7,,,,,,,,1,,,,,,
"N1.31",1008,1,1,8,,,,,,,,,,,,,,
"N1.31",1008,1,1,9,,,,,,,,,,,,,,
"N1.31",1008,1,2,1,,,,,,,,,,,,,,
"N1.31",1008,1,2,2,,,,,,,,,,,,,,
"N1.31",1008,1,2,3,,,,,,,,,,,,,,
"N1.31",1008,1,2,4,1,,,,,,,,,,,,,
"N1.31",1008,1,2,5,,,,,,,,,,,,,,
"N1.31",1008,1,2,6,,,,,,,,,,,,,,
"N1.31",1008,1,2,7,,,,,,,,1,,,,,,
"N1.31",1008,1,3,1,,,,,,,,,,,,,,
"N1.31",1008,1,3,2,,,,,,,,,,,,,,
"N1.31",1008,1,3,3,,,,,,,,,,,,,,
"N1.31",1008,1,3,4,,,,,,,,,,,,,,
"N1.31",1008,1,3,5,,,,,,,,,,,,,,
"N1.31",1008,1,4,1,,,,,,,,,,,,,,
"N1.31",1008,1,4,2,,,,,,,,,,,,,,
"N1.31",1008,1,4,3,,,,,,,,,,,1,,,
"N1.31",1008,1,4,4,,,,,,,,,,,,,,
"N1.31",1008,1,4,5,,,,,,,,,,,,,,
"N1.31",1008,1,5,1,,,,,,,,,,,,,,
"N1.31",1008,1,5,2,,,,,,,,,,,,,,
"N1.31",1008,1,5,3,,,,,,,,,,,,,,
"N1.31",1008,1,5,4,,,,,,,,,,,,,,
"N1.31",1008,1,5,5,,,,,,,,,,,,,1,
"N1.31",1008,1,6,1,,,,,,,,,,,,,1,
"N1.31",1008,1,6,2,,,,,,,,,,,,,,
"N1.31",1008,1,6,3,,,,,,,,,,,1,,,
"N1.31",1008,1,6,4,,,,,,,,,,,,,,
"N1.31",1008,1,6,5,,,,,,,,,,,,,,
"N1.31",1008,1,6,6,,,,,,,,,,,,,,
"N1.31",1008,1,6,7,,,,,,,,,,,,,,
"N1.31",1008,1,6,8,,,,,,,,,,,,,,
"N1.31",1008,1,7,1,,,,,,,,,,,,,,
"N1.31",1008,1,7,2,,,,,,,,,,,,,,1
"N1.31",1008,1,7,3,,,,,,,,,,,,,,1
"N1.31",1008,1,7,4,,,,,,,,,,,,,,
"N1.31",1008,1,7,5,,,,,,,,,,,,,,
"N1.31",1008,1,7,6,,,,,,,,,,,,,,
"N1.31",1008,1,7,7,,,,,,,,,,,,,,
"N1.31",1008,1,8,1,,,,,,,,,,,,,,
"N1.31",1008,1,8,2,,,,,,,,,,,,,,
"N1.31",1008,1,8,3,,,,,,,,,,,,,,
"N1.31",1008,1,8,4,,,,,,,,,,,,,,
