"leaf.type","tree","geno","shoot","leaf","pb.upper","pb.lower","pb.hole","pb.woody","pb.woody.pred","pb.abort","pb.pred","chew.edge","chew.holes","scrape","fish.eye","tip.miner","edge.miner","mid.miner","fungal","chomp","pinch","thrips","edge.fold","tier","mite"
"live","np4.36",11,1,1,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,1,2,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,1,3,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,1,4,,,,,,,,1,,,,,,,,,,,,,
"live","np4.36",11,1,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,2,1,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,2,2,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,2,3,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,2,4,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,2,5,,,,,,,,1,,1,,,,,1,,,,,1,
"live","np4.36",11,3,1,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,3,2,,,,1,,,,,,,,,,,1,,,,,,
"live","np4.36",11,3,3,,,,1,,,,,,,,,,,1,,,,,,
"live","np4.36",11,3,4,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,3,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,4,1,,,,,,,,,,1,,,,,1,,,,,,
"live","np4.36",11,4,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,4,3,,,,1,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,4,4,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,4,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,5,1,,,,,,,,1,1,,,,,,1,,,,,,
"live","np4.36",11,5,2,,,,,,,,,1,,,,,,1,,,,,,
"live","np4.36",11,5,3,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,5,4,1,,,,,,,1,,1,,,,,1,,,,,,
"live","np4.36",11,5,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,6,1,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,6,2,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,6,3,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,6,4,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,6,5,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,7,1,,,,,,,1,,,,,,,,1,,,,,,
"live","np4.36",11,7,2,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,7,3,2,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,7,4,,,,,,,,1,,,,,,,1,,1,,,,
"live","np4.36",11,7,5,,,,,,,,1,,,,,,,1,,,,,,
"live","np4.36",11,8,1,,,,,,,,,,1,,,,,,,,,,,
"live","np4.36",11,8,2,,,,,,,,,,1,,,,,1,,,,,,
"live","np4.36",11,8,3,,,,,,,,,,,,,,,1,,,,,,
"live","np4.36",11,8,4,,,,,,,,,,,,,,,1,,,,,,
