"Number","Species"
"1","pb"
"2","Ambush.bug"
"3","Anthocorid"
"4","Araniella"
"5","Asilidae"
"6","assassin"
"7","Assassin..rd.blk."
"8","Assilid"
"9","BEB"
"10","Beetle..unkn.blk."
"11","Bp.Chalcid"
"12","Braconid"
"13","Calophorid"
"14","Cercopid..brn."
"15","Chait..grn."
"16","Clerid..rd.blk."
"17","Cocc.nymph..blk.orng."
"18","Coenagrionidae"
"19","Earwig"
"20","edge.mnr"
"21","egg.on.a.stick"
"22","Fly..brn.rnd."
"23","Fly..gldn.Dolicho."
"24","Fly..unkn.sm."
"25","Formica.spp.1"
"26","Formica.spp.2"
"27","Formica.spp.3"
"28","Globuli"
"29","Hymenoptera..unkn.."
"30","Ichneumonid"
"31","Lacewing..grn."
"32","Lbb..many.spt."
"33","Lbb..no.spot."
"34","Lf.tier"
"35","Lfhppr..brn."
"36","Lfhppr..brnmtld."
"37","Lfhppr..fisheye."
"38","Lfhppr..grn."
"39","Lfhppr..sknk."
"40","Melyrid..gry.blk."
"41","midge"
"42","mite.gall"
"43","Muscid"
"44","Myrm.ant"
"45","Paras"
"46","Paras..lng.thin."
"47","Penta..brachy."
"48","penta..rd.brn."
"49","Phylla"
"50","punkie"
"51","red.mite"
"52","Salticid..blk.rd."
"53","Salticid..zebra."
"54","serp.lf.mnr"
"55","Snakefly"
"56","Spider..Araneid.blk.gry."
"57","Spider..gry.crab."
"58","Spider..rd.blk.Lycosid."
"59","Spider..rd.wht."
"60","Spider..unkn."
"61","Spittle.bug"
"62","Spot.blotch"
"63","stem.borer"
"64","Syrphid..lttl.yllw."
"65","T.dip"
"66","Thec..aff."
"67","Thrip..blk."
"68","Thrip..yllw."
"69","Tip..mnr"
"70","Tip.roller"
"71","Weevil..blk."
"72","Weevil..brn."
"73","Weevil..gry."
