"","rnd.rm","deg.rm","typ.rm"
"1 1",0.96,0.954,0.97
"1 2",0.968,0.966,0.956
"1 3",0.96,0.934,0.948
"1 4",0.958,0.958,0.964
"1 5",0.966,0.934,0.954
"1 6",0.954,0.952,0.954
"1 7",0.96,0.956,0.954
"1 8",0.966,0.94,0.962
"1 9",0.948,0.948,0.962
"1 10",0.938,0.97,0.962
"2 1",0.946,0.948,0.956
"2 2",0.958,0.958,0.956
"2 3",0.97,0.942,0.962
"2 4",0.964,0.912,0.936
"2 5",0.958,0.938,0.948
"2 6",0.952,0.948,0.96
"2 7",0.962,0.944,0.95
"2 8",0.946,0.966,0.954
"2 9",0.964,0.94,0.956
"2 10",0.958,0.954,0.958
"3 1",0.944,0.95,0.954
"3 2",0.938,0.946,0.964
"3 3",0.954,0.956,0.958
"3 4",0.968,0.944,0.95
"3 5",0.95,0.952,0.966
"3 6",0.96,0.944,0.964
"3 7",0.962,0.95,0.958
"3 8",0.954,0.952,0.946
"3 9",0.956,0.936,0.966
"3 10",0.968,0.96,0.966
"4 1",0.944,0.944,0.97
"4 2",0.934,0.946,0.948
"4 3",0.962,0.948,0.948
"4 4",0.962,0.946,0.962
"4 5",0.95,0.942,0.958
"4 6",0.968,0.954,0.964
"4 7",0.976,0.956,0.954
"4 8",0.966,0.956,0.956
"4 9",0.964,0.956,0.96
"4 10",0.944,0.96,0.952
"5 1",0.926,0.916,0.938
"5 2",0.946,0.946,0.91
"5 3",0.934,0.922,0.962
"5 4",0.948,0.94,0.94
"5 5",0.948,0.94,0.954
"5 6",0.952,0.944,0.946
"5 7",0.94,0.942,0.956
"5 8",0.962,0.938,0.97
"5 9",0.948,0.928,0.944
"5 10",0.944,0.932,0.946
"6 1",0.926,0.918,0.932
"6 2",0.93,0.916,0.906
"6 3",0.904,0.862,0.908
"6 4",0.91,0.912,0.878
"6 5",0.904,0.892,0.896
"6 6",0.942,0.888,0.91
"6 7",0.922,0.856,0.922
"6 8",0.872,0.884,0.93
"6 9",0.936,0.898,0.928
"6 10",0.93,0.87,0.862
"7 1",0.882,0.85,0.828
"7 2",0.846,0.85,0.822
"7 3",0.81,0.772,0.794
"7 4",0.884,0.828,0.914
"7 5",0.83,0.76,0.796
"7 6",0.878,0.762,0.832
"7 7",0.802,0.772,0.79
"7 8",0.834,0.804,0.84
"7 9",0.85,0.84,0.882
"7 10",0.836,0.746,0.864
"8 1",0.448,0.434,0.528
"8 2",0.63,0.732,0.766
"8 3",0.684,0.582,0.61
"8 4",0.628,0.724,0.624
"8 5",0.61,0.6,0.396
"8 6",0.578,0.638,0.464
"8 7",0.438,0.57,0.552
"8 8",0.402,0.426,0.256
"8 9",0.53,0.55,0.464
"8 10",0.788,0.6,0.522
"9 1",0.572,0.546,0.332
"9 2",0.416,0.294,0.27
"9 3",0.404,0.622,0.692
"9 4",0.586,0.458,0.552
"9 5",0.706,0.668,0.688
"9 6",0.324,0.37,0.322
"9 7",0.804,0.562,0.65
"9 8",0.74,0.64,0.53
"9 9",0.684,0.612,0.438
"9 10",0.584,0.514,0.506
