"","x"
"1 1",0.9557
"1 2",0.9505
"1 3",0.9502
"1 4",0.9544
"1 5",0.9528
"1 6",0.9522
"1 7",0.9555
"1 8",0.9492
"1 9",0.9541
"1 10",0.9576
"2 1",0.9504
"2 2",0.9493
"2 3",0.9547
"2 4",0.951
"2 5",0.9534
"2 6",0.9567
"2 7",0.9503
"2 8",0.9545
"2 9",0.951
"2 10",0.9545
"3 1",0.9523
"3 2",0.9499
"3 3",0.949
"3 4",0.9448
"3 5",0.9522
"3 6",0.9474
"3 7",0.9473
"3 8",0.9486
"3 9",0.9458
"3 10",0.9511
"4 1",0.9488
"4 2",0.9362
"4 3",0.9484
"4 4",0.9444
"4 5",0.9476
"4 6",0.9509
"4 7",0.9422
"4 8",0.9476
"4 9",0.9472
"4 10",0.9482
"5 1",0.9332
"5 2",0.9374
"5 3",0.9291
"5 4",0.9335
"5 5",0.9244
"5 6",0.9295
"5 7",0.9341
"5 8",0.9313
"5 9",0.9214
"5 10",0.9347
"6 1",0.8461
"6 2",0.8944
"6 3",0.9003
"6 4",0.8911
"6 5",0.868
"6 6",0.8736
"6 7",0.8956
"6 8",0.8774
"6 9",0.8966
"6 10",0.879
"7 1",0.8045
"7 2",0.7576
"7 3",0.745
"7 4",0.7613
"7 5",0.7208
"7 6",0.5984
"7 7",0.7181
"7 8",0.7202
"7 9",0.7636
"7 10",0.7767
"8 1",0.6747
"8 2",0.6717
"8 3",0.3958
"8 4",0
"8 5",0.6405
"8 6",0.5815
"8 7",0.4369
"8 8",0.6307
"8 9",0.59
"8 10",0.6832
"9 1",0.3308
"9 2",0
"9 3",0.4772
"9 4",0.4738
"9 5",0
"9 6",0.3931
"9 7",0
"9 8",0
"9 9",0
"9 10",0
