"","x"
"1 1",0.9641
"1 2",0.9575
"1 3",0.9608
"1 4",0.9531
"1 5",0.9613
"1 6",0.9614
"1 7",0.9546
"1 8",0.9674
"1 9",0.9552
"1 10",0.9649
"2 1",0.9557
"2 2",0.9533
"2 3",0.955
"2 4",0.9672
"2 5",0.9568
"2 6",0.9554
"2 7",0.9612
"2 8",0.9645
"2 9",0.9562
"2 10",0.9522
"3 1",0.9521
"3 2",0.9626
"3 3",0.9638
"3 4",0.9461
"3 5",0.9616
"3 6",0.9517
"3 7",0.9606
"3 8",0.9539
"3 9",0.9489
"3 10",0.9567
"4 1",0.948
"4 2",0.9522
"4 3",0.9603
"4 4",0.9552
"4 5",0.96
"4 6",0.9308
"4 7",0.9484
"4 8",0.9465
"4 9",0.9423
"4 10",0.9494
"5 1",0.9143
"5 2",0.9375
"5 3",0.938
"5 4",0.9083
"5 5",0.9339
"5 6",0.9156
"5 7",0.9295
"5 8",0.9153
"5 9",0.9487
"5 10",0.9215
"6 1",0.8507
"6 2",0.8811
"6 3",0.8612
"6 4",0.8352
"6 5",0.8669
"6 6",0.8871
"6 7",0.8755
"6 8",0.8691
"6 9",0.8551
"6 10",0.863
"7 1",0.7773
"7 2",0.7818
"7 3",0.7808
"7 4",0.7622
"7 5",0.787
"7 6",0.6007
"7 7",0.741
"7 8",0.7019
"7 9",0.7622
"7 10",0.7723
"8 1",0.7191
"8 2",0.6589
"8 3",0.6328
"8 4",0
"8 5",0.7092
"8 6",0.6846
"8 7",0.502
"8 8",0.7023
"8 9",0.6118
"8 10",0.6842
"9 1",0.3458
"9 2",0
"9 3",0.4527
"9 4",0.5749
"9 5",0
"9 6",0.5071
"9 7",0
"9 8",0
"9 9",0
"9 10",0
