"","x"
"1 1",1
"1 2",1
"1 3",1
"1 4",1
"1 5",1
"1 6",1
"1 7",1
"1 8",1
"1 9",1
"1 10",1
"2 1",1
"2 2",1
"2 3",1
"2 4",1
"2 5",1
"2 6",1
"2 7",1
"2 8",1
"2 9",1
"2 10",1
"3 1",1
"3 2",1
"3 3",1
"3 4",1
"3 5",1
"3 6",1
"3 7",1
"3 8",1
"3 9",1
"3 10",1
"4 1",1
"4 2",1
"4 3",1
"4 4",1
"4 5",1
"4 6",1
"4 7",1
"4 8",1
"4 9",1
"4 10",1
"5 1",1
"5 2",1
"5 3",1
"5 4",1
"5 5",1
"5 6",1
"5 7",1
"5 8",1
"5 9",1
"5 10",1
"6 1",0.9996
"6 2",0.9992
"6 3",0.9999
"6 4",0.9994
"6 5",0.9997
"6 6",0.9995
"6 7",0.9998
"6 8",0.9994
"6 9",0.9996
"6 10",0.999
"7 1",0.9819
"7 2",0.9842
"7 3",0.9809
"7 4",0.984
"7 5",0.9826
"7 6",0.9852
"7 7",0.9852
"7 8",0.9827
"7 9",0.9849
"7 10",0.9814
"8 1",0.9495
"8 2",0.953
"8 3",0.9488
"8 4",0.9516
"8 5",0.9569
"8 6",0.9491
"8 7",0.949
"8 8",0.9529
"8 9",0.9478
"8 10",0.9512
"9 1",0.8195
"9 2",0.8124
"9 3",0.8232
"9 4",0.8215
"9 5",0.8403
"9 6",0.8207
"9 7",0.8676
"9 8",0.8327
"9 9",0.8108
"9 10",0.8259
