"","x"
"1 1",1
"1 2",1
"1 3",1
"1 4",1
"1 5",1
"1 6",1
"1 7",1
"1 8",1
"1 9",1
"1 10",1
"2 1",1
"2 2",1
"2 3",1
"2 4",1
"2 5",1
"2 6",1
"2 7",1
"2 8",1
"2 9",1
"2 10",1
"3 1",1
"3 2",1
"3 3",1
"3 4",1
"3 5",1
"3 6",1
"3 7",1
"3 8",1
"3 9",1
"3 10",1
"4 1",1
"4 2",1
"4 3",1
"4 4",1
"4 5",1
"4 6",1
"4 7",1
"4 8",1
"4 9",1
"4 10",1
"5 1",1
"5 2",1
"5 3",1
"5 4",1
"5 5",1
"5 6",1
"5 7",1
"5 8",1
"5 9",1
"5 10",1
"6 1",1
"6 2",0.9996
"6 3",0.9996
"6 4",0.9997
"6 5",0.9998
"6 6",0.9999
"6 7",0.9995
"6 8",0.9998
"6 9",0.9999
"6 10",0.9998
"7 1",0.9903
"7 2",0.9901
"7 3",0.9911
"7 4",0.9872
"7 5",0.9874
"7 6",0.9903
"7 7",0.9904
"7 8",0.9912
"7 9",0.9911
"7 10",0.9886
"8 1",0.9554
"8 2",0.9616
"8 3",0.9561
"8 4",0.9596
"8 5",0.9566
"8 6",0.9556
"8 7",0.9541
"8 8",0.9552
"8 9",0.956
"8 10",0.9555
"9 1",0.8336
"9 2",0.8455
"9 3",0.8527
"9 4",0.8351
"9 5",0.8385
"9 6",0.847
"9 7",0.8433
"9 8",0.8356
"9 9",0.8582
"9 10",0.824
