"F","H2C","P-value","z"
1.063733037273,0.0107378654595268,0.396,1
1.113972529745,0.0112393086596375,0.348,1
1.248303345746,0.0125775786957043,0.208,1
1.187328177797,0.0119705631718288,0.282,1
1.942010656042,0.019431374687122,0.015,1
0.668700386441,0.00677722908908715,0.836,1
1.627400205347,0.0163348657296342,0.043,1
0.94727233107,0.00957350625998834,0.516,1
0.728217022906,0.00737597664441421,0.766,1
0.969709056873,0.00979803887587603,0.514,1
1.352480460798,0.0136129511263894,0.139,1
1.563810864739,0.0157066192139197,0.08,1
0.967988595769,0.00978082518906686,0.523,1
0.946561591576,0.00956639196299705,0.526,1
0.747109824985,0.00756589054919089,0.755,1
1.365370419763,0.0137409080648015,0.161,1
0.833302307168,0.0084313919267643,0.654,1
0.769783375164,0.00779371330845582,0.732,1
2.252543702265,0.0224686937516024,0.002,1
1.911898359067,0.019135842581995,0.017,1
1.543836010007,0.0155091070616527,0.086,1
0.795894464931,0.00805594675002737,0.712,1
1.354599416427,0.0136339880024038,0.16,1
1.174761000133,0.0118453625527879,0.289,1
1.127955657801,0.0113787846255509,0.311,1
1.328447154515,0.0133742869497275,0.182,1
1.704925778845,0.0170997146382429,0.029,1
1.45088429556,0.0145889531886751,0.098,1
0.558748156631,0.00566918885518782,0.916,1
0.88414977447,0.00894126891404667,0.563,1
1.171197577141,0.0118098561452816,0.265,1
0.981837508906,0.00991937039780074,0.507,1
0.571893016418,0.00580178587341507,0.891,1
1.153154172104,0.0116300301461179,0.297,1
1.821313745362,0.0182457400832064,0.033,1
1.128124647744,0.0113804699902576,0.341,1
1.373209645197,0.013818710798415,0.153,1
1.410286169059,0.0141865215704196,0.119,1
1.790781485331,0.0179453598686772,0.028,1
0.764426488754,0.00773989700472355,0.746,1
0.951541771035,0.00961623996962638,0.532,1
1.081420571441,0.0109144637330007,0.38,1
1.949686638752,0.0195066808543254,0.015,1
1.812439919693,0.0181584572138583,0.021,1
1.241993489094,0.0125147978736523,0.223,1
0.972037868185,0.00982133832061976,0.498,1
1.862922732127,0.0186547988098023,0.015,1
0.917354522613,0.00927394921791496,0.553,1
1.786855948246,0.01790672660508,0.03,1
1.16518100818,0.0117499004825468,0.3,1
2.891267022299,0.0286572575370632,0.001,2
3.352054296979,0.0330733730088653,0.001,2
3.177194056698,0.0314022748537375,0.001,2
2.636206075152,0.0261954039998583,0.001,2
2.275509089002,0.0226925707949543,0.002,2
2.833507217405,0.0281008495647709,0.001,2
2.710278584287,0.0269116382397717,0.001,2
2.094645707869,0.0209266509018135,0.004,2
3.587858970332,0.0353177929596843,0.001,2
2.231956780747,0.0222679158666832,0.002,2
1.964886856143,0.0196557703203358,0.009,2
1.261637074815,0.0127102182876999,0.2,2
3.954934566487,0.0387910068630197,0.001,2
4.420926929268,0.0431642932925296,0.001,2
2.842518488991,0.0281876983199464,0.001,2
3.22386733636,0.0318488852599095,0.002,2
3.328613022223,0.0328496850291745,0.001,2
2.324644212145,0.0231712181029941,0.001,2
1.7969460848,0.0180060227822269,0.029,2
2.260691124625,0.0225481302718664,0.003,2
2.266969054469,0.0226093306284852,0.001,2
1.789506979899,0.0179328171273457,0.025,2
1.896322329654,0.0189829043295126,0.017,2
2.743614847587,0.0272336351215709,0.001,2
3.316025527811,0.0327295263561361,0.001,2
2.72042415541,0.0270096574574819,0.001,2
2.277189958524,0.022708952648809,0.005,2
2.60829791455,0.0259252762308467,0.001,2
1.339260976674,0.0134816885439562,0.177,2
2.453345292446,0.0244227336113478,0.002,2
2.912360276298,0.0288602929148022,0.001,2
3.16020181096,0.0312395759833094,0.001,2
3.471516786189,0.0342117364176609,0.001,2
2.529225282756,0.0251591044857038,0.001,2
2.374531495779,0.0236567131163069,0.003,2
2.206229521816,0.022016889891414,0.006,2
1.798598097133,0.0180222781825315,0.027,2
3.078623056294,0.0304577067158856,0.001,2
2.931218153587,0.0290417395847361,0.001,2
2.837254518949,0.0281369671604435,0.001,2
3.363271257536,0.0331803740724858,0.001,2
2.347103984671,0.0233898527358514,0.003,2
3.337361548512,0.0329331798017521,0.001,2
1.467379303177,0.0147523671927143,0.101,2
2.346785078453,0.0233867490285684,0.003,2
2.087728065966,0.0208589814786303,0.006,2
2.582146173164,0.0256720130898631,0.001,2
3.155103761326,0.0311907520629981,0.001,2
2.398770393295,0.0238924280038355,0.004,2
3.602701748481,0.0354587199600229,0.001,2
9.455373955572,0.0879934954158831,0.001,3
9.929163840112,0.091997042197243,0.001,3
12.890708745593,0.116246968672252,0.001,3
11.390028839738,0.104123099340476,0.001,3
9.247138957013,0.0862227099663671,0.001,3
10.409634999829,0.0960213084367055,0.001,3
11.107581549609,0.10180393875341,0.001,3
8.216521163391,0.0773563384810152,0.001,3
13.244184415813,0.119055072275133,0.001,3
9.640062190201,0.0895583112277174,0.001,3
11.20931514496,0.102640650480051,0.001,3
9.311648615988,0.0867720208950398,0.001,3
9.566649514436,0.0889369480003358,0.001,3
10.928605834765,0.100328153022937,0.001,3
9.570757562156,0.0889717408248807,0.001,3
10.741247460978,0.0987780415599183,0.001,3
9.688629954638,0.0899689220553633,0.001,3
9.90195297818,0.091768060770715,0.001,3
10.942285377422,0.10044112200798,0.001,3
9.968423006128,0.0923272076092303,0.001,3
10.25319200247,0.0947149161406374,0.001,3
11.980615179031,0.108933880389087,0.001,3
9.195154184297,0.0857795695548699,0.001,3
9.44477494749,0.0879035295304606,0.001,3
9.536564110352,0.0886820607413624,0.001,3
8.201206081203,0.0772232857217441,0.001,3
10.786665290159,0.0991542967273488,0.001,3
8.954647551283,0.0837237815868571,0.001,3
11.846361005756,0.107844819776368,0.001,3
9.147563456838,0.0853735088481324,0.001,3
9.324040058673,0.0868774605724477,0.001,3
11.701091377879,0.10666339988882,0.001,3
8.484390406549,0.0796773158409083,0.001,3
13.406770643841,0.120340716873497,0.001,3
9.731965899008,0.0903349884855098,0.001,3
9.769796018596,0.0906543055617361,0.001,3
11.520306629339,0.105188772602038,0.001,3
12.452591498134,0.112741505918801,0.001,3
11.992268638091,0.109028287047604,0.001,3
8.019352805877,0.0756404617990891,0.001,3
7.960005894369,0.075122739256019,0.001,3
11.367047409349,0.103934847640199,0.001,3
12.044580405643,0.109451827261684,0.001,3
8.617614395856,0.0808273046127254,0.001,3
10.291246892682,0.0950330445717445,0.001,3
10.43479449059,0.0962310533220526,0.001,3
10.187247623804,0.094163109308664,0.001,3
12.013094529194,0.109196951332059,0.001,3
10.110131223978,0.0935169637620007,0.001,3
10.944709209568,0.100461135643718,0.001,3
37.965835233649,0.279230699156204,0.001,4
36.833564866265,0.273178009517129,0.001,4
36.508779986653,0.271423025249918,0.001,4
38.885244594536,0.284071849451101,0.001,4
37.728107156278,0.277968270144942,0.001,4
38.855991259156,0.283918817887754,0.001,4
37.713062257803,0.277888227045991,0.001,4
39.20323160229,0.285731109569841,0.001,4
35.250578021383,0.264543528026767,0.001,4
35.526597167341,0.266063824893383,0.001,4
34.865091051287,0.262409717822934,0.001,4
37.903832815976,0.278901867817815,0.001,4
36.054519556625,0.268954151459216,0.001,4
