"nestedtemp","z"
34.3589753800328,1
38.150483926952,1
35.423147899546,1
37.5970697727038,1
37.5359394460588,1
36.8684177102388,1
34.0597532876831,1
35.0221422139463,1
37.8962751252494,1
35.0507158114751,1
39.1511403089953,2
35.9639653640119,2
38.638464713685,2
34.6290216092837,2
38.1624513387526,2
33.494462842362,2
34.3257548017679,2
32.9117668466832,2
39.0352148881339,2
33.1212362958905,2
34.1913208377636,3
35.9117782242084,3
35.3730493989216,3
32.1798980163105,3
35.9196668890272,3
37.8246280630286,3
31.6971047714696,3
36.371444701256,3
36.7817167324249,3
36.8232849899694,3
33.314503491922,4
34.6474297751817,4
37.7817617687185,4
34.8508777426699,4
35.2825781766637,4
38.3102976527748,4
34.0478819825513,4
32.1856913101038,4
33.4743227199289,4
35.425322596658,4
37.9037522591459,5
34.7055628991563,5
34.6499332255328,5
35.5331847852598,5
33.8095474198212,5
35.8984241189315,5
34.7091672493213,5
36.987165962315,5
30.6223089261511,5
35.5570007502187,5
30.8185293862057,6
33.5787846438975,6
31.2494896063126,6
32.8186922122892,6
33.3153281457183,6
31.7280835755584,6
32.4801771970155,6
35.9217641316777,6
31.8207129617301,6
32.8933965778544,6
28.6133655778416,7
25.0320332474436,7
26.6372564500548,7
28.5201148670117,7
27.0800360437978,7
28.5630922110757,7
29.4733504378656,7
25.5738414412255,7
27.5991703232959,7
29.1620501920116,7
23.6676496746706,8
26.4970837771918,8
28.6650114589599,8
24.4814222250302,8
25.9339956605674,8
26.3259783092349,8
25.1046442779855,8
26.5155599751492,8
25.1519843652051,8
24.5747200546467,8
23.4351872646965,9
23.7526193048012,9
24.3968058375816,9
24.7113663433101,9
24.5592721038607,9
24.6055447239082,9
24.5124712968483,9
23.5356873246992,9
25.7654987109733,9
25.1453919678702,9
