"","SES","lower.p","upper.p"
"N1.10 996",-1.96585793884131,0.0484,0.992
"N1.11 T6",-4.53757837701479,0,1
"N1.24 1017",-9.63672322199655,0,1
"N1.27 1023",NA,NA,NA
"N1.28 999",-1.49830011874556,0.14,1
"N1.34 996",-4.06884728045105,0,1
"N1.36 11",NA,NA,NA
"N1.4 1017",-6.11720334420395,0,1
"N1.5 T6",-5.73481097730546,0,1
"N1.7 T6",-1.4428820584567,0.1486,1
"N1.8 1017",-4.48730586995408,0,1
"N2.10 996",NA,NA,NA
"N2.11 1012",-0.252697611090748,0.4668,0.5908
"N2.12 1023",-5.18183756961511,0,1
"N2.14 1023",-3.35917608025129,0.0016,0.9984
"N2.15 1017",-5.45741641972558,0,1
"N2.16 996",-8.1930425849254,0,1
"N2.17 1012",-2.09927725525998,0.019,0.9878
"N2.20 1012",-9.27461345461504,0,1
"N2.25 1008",-2.45449161951806,0.0128,0.996
"N2.28 WC5",-1.4559167649475,0.149,1
"N2.29 996",NA,NA,NA
"N2.3 1017",-4.36730074859227,2e-04,1
"N2.31 WC5",-8.76817853560091,0,1
"N2.33 11",-9.35325089502829,0,1
"N2.35 11",NA,NA,NA
"N2.4 996",-6.95557802826891,0,1
"N2.45 1012",-7.90996333003216,0,1
"N3.13 1017",-4.79550167359699,0,1
"N3.17 1008",-4.20876917769181,2e-04,1
"N3.2 11",-6.79507438955357,0,1
"N3.3 1007",-1.61763085965794,0.155,1
"N3.31 1007",NA,NA,NA
"N3.6 996",NA,NA,NA
"N4.12 WC5",-6.15807529983772,0,1
"N4.14 1008",-3.19518129965355,0,1
"N4.16 H10",-3.356931150763,2e-04,0.9998
"N4.18 1007",NA,NA,NA
"N4.20 1023",-6.45597498552808,0,1
"N4.24 10",NA,NA,NA
"N4.26 999",-6.73216745020989,0,1
"N4.30 11",-5.16986531358302,0,1
"N5.12 1005",-7.59528702332441,0,1
"N5.13 1005",-6.54014261151932,0,1
"N5.17 10",-2.09668237571487,0.0278,0.9952
"N5.2 1008",-7.49305408268231,0,1
"N5.26 999",NA,NA,NA
"N5.5 1005",-4.04241880049304,0,1
"N6.10 10",-3.52023830000351,0,1
"N6.17 996",NA,NA,NA
"N6.4 H10",-6.38376946030016,0,1
"N6.6 1005",-2.10241806925171,0.0234,1
"N6.9 1008",-3.64299353938688,0,1
"N7.10 10",-8.85192471399628,0,1
"N7.3 1008",-5.55047984742176,0,1
"N7.7 H10",-3.21884765834567,2e-04,0.9998
"N7.8 WC5",-8.05655420022985,0,1
