"g","V1","V2","cs.obs"
"T6",0.739199265417664,0.17034792030619,1
"RL6",0.255134166666667,0.228643361727896,0
"T6",0,0,0
"T6",0.262440545314244,0.177067807426877,0
"1017",0.0694180858585859,0.0246606593409106,0
"1017",0.5003771243889,0.147015400720958,0.333333333333333
"WC5",0.356889482623089,0.190082043105588,0
"1017",0.246014705176907,0.0753099875405243,0
"WC5",0.322801405075937,0.0110585223792854,0.0476190476190476
"RL6",0.496052449796743,0.106480838200537,0.265432098765432
"1017",0.609702499068513,0.141370577574799,0.5
"WC5",0.35381683667754,0.108371621096319,0
"H10",0.735634527685721,0.0918588720235917,0.6
"1005",0.493045896171263,0.0299258421408257,0.506666666666667
"1005",0.61052673234374,0.0912043663617205,0.548474873820496
"1005",0.307045391362203,0.135089543695477,0
"RL6",0.4845285252013,0.0574729559661615,0.4
"H10",0.756248944467599,0.0691711942400189,1
"1005",0.3283689896517,0.173366344224364,0
"H10",0.530223520107512,0.158241915482,0.333333333333333
"WC5",0.52047930728751,0.0627606829547664,0.290909090909091
"996",0,0,0
"1017",0.543708515409968,0.0733111024301285,0.576489533011272
"1023",0,0,0
"999",0.331098210161257,0.272559354793362,0
"996",0.505445999055279,0.160419916607977,0.333333333333333
"1017",0.800381959961589,0.0844841972417758,0.488372093023256
"996",0,0,0
"1012",0.9982,0.0423924453633519,1
"1023",0.279229490532339,0.143275577784418,0
"1023",0.536428810318636,0.137352118007831,0.46
"996",0.504683547191552,0.0381993440285135,0.394928571428571
"1012",0,0,0
"1012",0.407371880067413,0.014581237681558,0.127450980392157
"1008",0.304337164068806,0.146312895011497,0.0526315789473684
"996",0,0,0
"11",0.54584315114397,0.0442992762378896,0.567602040816326
"11",0,0,0
"996",0.458202882971463,0.0797687050064684,0.278571428571429
"1012",0.554332817379805,0.0648912146418925,0.431957671957672
"1008",0.228090434308098,0.087830267416402,0
"11",0.225605173460438,0.0746401176761878,0.0230687830687831
"1007",0,0,0
"1007",0,0,0
"1008",0.354868680321931,0.15778040463637,0
"1007",0,0,0
"1023",0.531748942662156,0.0692776759913529,0.435897435897436
"10",0,0,0
"999",0.72573171058888,0.085606257742336,1
"11",0,0,0
"10",0.345909011751887,0.127440078683171,0.104938271604938
"1008",0.561819710267767,0.0785006674388763,0.4
"999",0,0,0
"10",0,0,0
"996",0,0,0
"1008",0.3121289131447,0.143280519989036,0
"10",0.526691125544008,0.0734748736898687,0.435153691106072
"1008",0.610258392100842,0.0994059382349206,0.666666666666667
"10",0.338687290624752,0.185212152362731,0
"1008",0.9356,0.245488681895088,0
"H10",0,0,0
"WC5",0.302457124217269,0.0457931036430386,0.0416666666666667
"H10",0.9996,0.01999799949987,0
"1008",0.395815375209466,0.199959668976538,0
"1005",0,0,0
"10",0.433337408692829,0.120318660048733,0.125
"RL6",0.655302681251534,0.11760459699868,0.5
"999",0,0,0
"10",0,0,0
"1005",0.22611853107613,0.0216285857711545,0.0765236135606506
"1005",0.681131036696136,0.0694973103371496,0.833333333333333
"1005",0.659001210411376,0.093154948996695,0.54
"1008",0.49169804508941,0.0464153217649867,0.333333333333333
"WC5",0.550168149760177,0.155906363025482,0.333333333333333
"1008",0,0,0
"H10",0.35513820817902,0.283508426985628,0
"1023",0.507881730324728,0.0561886146793499,0.333333333333333
"10",0,0,0
"999",0,0,0
"11",0.175726227675763,0.0744951641684752,0
"1007",0,0,0
"1017",0.617111387868355,0.0613492374648089,0.333333333333333
"1007",0.249730833333333,0.228953154324956,0
"11",0.361301197831913,0.186936400264382,0
"1012",0.230868888888889,0.098181880254944,0.222222222222222
"996",0.561010627503935,0.172183742324438,0.333333333333333
"1017",0.341682884994907,0.283702232336674,0
"1023",0,0,0
"1023",0.557609673265665,0.176562130573092,0.333333333333333
"1012",0.611253606742006,0.170833739211705,0.438888888888889
"996",0,0,0
"1017",0,0,0
"1012",0.338214665938391,0.0327398266902735,0.0333333333333333
"WC5",0,0,0
"996",0,0,0
"WC5",0.627257678800269,0.131616880494592,0.5
"11",0.598438123223308,0.087337297878701,0.333333333333333
"11",0,0,0
"RL6",0.602159330602558,0.139361582310792,0.333333333333333
"1012",0.552750064716241,0.151234547373683,0
"RL6",0,0,0
"11",0,0,0
"996",0,0,0
"999",0,0,0
"1023",0,0,0
"1017",0.702259482121993,0.0550385886568519,1
"T6",0.650438472769599,0.0701071892825072,0.722222222222222
"996",0.459433495888058,0.159927683629286,0.304347826086957
"1017",0.443770162765467,0.113103370404097,0.243055555555556
"T6",0,0,0
"T6",0.446621183277187,0.0611005310667698,0.265873015873016
"1017",0.391521770063738,0.0947316306742651,0.333333333333333
