"","SES","lower.p","upper.p"
"gnu.13",-4.82165374990202,0,1
"gnu.16",-2.48444774847578,0.0101010101010101,0.98989898989899
"gnu.19",-8.22210641362611,0,1
"gnu.37",-7.22943515090551,0,1
"gnu.59",-4.16907473821582,0,1
"gnu.68.ramet",NA,1,1
"gnu.76",-4.38407875970578,0,1
"gnu.85",-9.91176232794146,0,1
"ll.1",-5.90184634067018,0,1
"ll.2",NA,1,1
"ll.3",-2.92113392086268,0,1
"ll.4",0.236439571250854,0.606060606060606,0.404040404040404
"ll.5",-2.72159855311041,0,1
"ll.7",-0.558623586383708,0.262626262626263,0.757575757575758
