"Tree.ID","Rough.U","Tcov.U","X.gal.U","X.mon.U","C.holo.U","CanSub.U","Rino.Gl.U","Lec.sp.U","Pmel.U","P.adsc.U","P.und.U","Lec.Hag.U","Phae.orbi.U","Phase.cili.U","Mel.sub.U","Mel.ela.U","Uk.Mos.U","UK.Physcia.U","LittleBlackBalls.U","Tree.ID","Site","Genotype","AgeFinal.U","Bole.Circ.cm","DBH.cm_01","Height.m","Age.years.Origninal","Date.Recorded.Except.Age","Age.Core.Taken","Total.Foliose","Total.Crust"
"GNU-13",91.25,30,15,5,0,0.125,0,0.1275,0,0,0,0.0125,0.125,0.5,0,0,0,0,0,"GNU-13","N.Unita","Narrowleaf",35,64.5,17.5,7.4,33,"May, 2012","Dec 2,3,2012",20.625,0.265
"GNU-16",81.25,16.625,14.25,0,0,0.6525,0.03125,0.03375,0,0,0,0,0.0375,0,0,0,0,0,0,"GNU-16","N.Unita","Narrowleaf",32,70,17.5,5.4,30,"May, 2012","Dec 2,3,2012",14.2875,0.7175
"GNU-37",65,26.375,10.875,0.1875,0.0025,1.2775,1,1,0.25,0,0,0.065,0,0,0,0,0,0,0,"GNU-37","N.Unita","Narrowleaf",28,65,14.2,5.4,27,"May, 2012","Dec 2,3,2012",11.3125,3.345
"GNU-59?",31.25,24.5,13.5,0,0,0.015,3.75,6.5,0,0.0025,0,0,0,0,0,0,0,0,0,"GNU-59","N.Unita","Narrowleaf",15,37.5,10,6.2,15,"May, 2012","Dec 2,3,2012",13.5025,10.265
"GNU-68_Ramet",18,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GNU-68_Ramet","N.Unita","Narrowleaf",26,35.5,5.5,3,26,"May, 2012","Dec 2,3,2012",0.5,0
"GNU-76",70,22,6.6875,0.125,0,0.03,4.5,4.8125,0,0,0,0,1.25,0,0,0,0,0,0,"GNU-76","N.Unita","Narrowleaf",19,59,15,7.5,19,"May, 2012","Dec 2,3,2012",8.0625,9.3425
"GNU-85_1ftAway",100,18,11.25,0.0625,0.025,0.125,0.2625,0.2625,5,0.0025,0,0.5625,0,0,0,0,0,0,0,"GNU-85_1ftAway","N.Unita","Narrowleaf",35,64,16.5,6.2,35,"May, 2012","Dec 2,3,2012",16.315,1.2375
"LL_01",40,10.75,7.5,1,0,0.375,0.75,0.25,0,0,0,0.005,0,0,0,0.125,0,0,0,"LL_01","N.Unita","Narrowleaf",26,42,9.15,7.9,26,"May, 2012","Dec 2,3,2012",8.625,1.38
"LL_02",36.25,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LL_02","N.Unita","Narrowleaf",17,49,9.5,5.2,17,"May, 2012","Dec 2,3,2012",0.005,0
"LL_03",37.5,10.875,6.875,0.065,0.025,0.00625,0,2.25,3.65,0,0,0,0,0,0,0,0,0,0,"LL_03","N.Unita","Narrowleaf",39,67,16.85,8.3,39,"May, 2012","Dec 2,3,2012",10.59,2.28125
