"Tree.O","Geno.O","Total.Cover.O","Roughness.O ","X.galericulata.O","C.holocarpa.O","C.subdeflexa.O","R.glauca.O","Lecanora.sp.O","P.melanchra.O","P.adscendens.O","P.undulata.O","X.montana.O","UK.Moss.1.O","UK.Physcioid.O","UK.O"
"N4-24",10,4.625,25.000,4.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N5-17",10,3.150,11.250,2.900,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N6-10",10,3.250,9.000,3.500,0.100,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N7-10",10,7.750,25.000,7.750,0.100,0.300,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-36",11,0.175,13.750,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-33",11,12.250,40.000,10.750,0.550,2.575,0.000,0.100,0.250,0.500,0.000,0.000,0.000,0.000,0.000
"N2-35",11,5.625,63.750,4.875,0.200,0.100,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
"N3-02",11,2.667,34.250,1.833,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-30",11,6.088,51.250,5.588,0.000,1.500,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N6-17",996,0.175,16.750,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-10",996,4.500,18.750,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-34",996,2.050,16.250,1.800,0.000,0.250,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N2-04",996,8.167,20.000,7.167,0.100,1.125,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N2-10",996,0.175,10.000,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-16",996,11.063,36.250,8.563,0.500,1.500,0.000,0.250,0.100,0.100,0.000,0.500,0.250,0.000,0.000
"N2-29",996,0.833,28.750,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-06",996,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-27",996,1.700,9.750,1.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-32",996,0.100,28.750,0.100,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N1-28",999,0.417,32.500,0.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-26",999,6.000,35.000,6.000,0.000,2.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N5-26",999,0.100,41.250,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000
"N5-05",1005,4.750,27.500,5.000,0.300,0.175,0.000,0.100,0.000,0.000,0.375,0.000,0.000,0.000,0.000
"N5-12",1005,22.750,36.250,13.500,0.375,3.000,0.000,0.000,0.750,1.125,0.000,0.500,0.000,0.000,0.000
"N5-13",1005,6.375,27.500,3.875,0.100,3.500,0.100,0.250,0.100,0.000,0.100,0.000,0.000,0.000,0.000
"N6-06",1005,27.000,57.500,18.375,0.100,0.250,0.000,0.100,1.100,0.000,0.500,0.000,0.000,0.000,0.000
"N3-03",1007,0.963,18.750,0.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-31",1007,0.500,17.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-18",1007,2.500,20.000,2.500,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-31",1008,0.625,13.750,0.250,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N2-25",1008,1.117,15.000,1.450,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"N3-17",1008,0.900,22.500,0.650,0.500,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-22",1008,2.083,18.750,2.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-14",1008,3.063,11.500,2.313,0.000,0.500,0.000,0.100,0.300,0.000,0.000,0.000,0.000,0.000,0.000
"N5-02",1008,10.750,18.750,10.250,0.175,5.033,0.175,1.125,0.000,0.000,0.250,0.000,0.000,0.000,0.000
"N6-09",1008,3.775,3.750,2.775,0.000,0.550,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
"N7-03",1008,18.750,42.500,17.000,0.000,0.100,0.000,0.000,0.100,0.000,0.100,0.000,0.000,0.000,0.000
"N2-11",1012,2.250,26.250,2.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-17",1012,15.000,38.750,10.000,0.100,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-20",1012,14.750,25.000,13.000,0.100,4.500,0.100,0.100,0.350,0.000,0.100,0.000,0.000,0.000,0.000
