tree,date,rough.s45,rough.s80,rough.n45,rough.n80,dbh.cm,bole.circ.cm,hieght.m,lat (N deg_decimal),lon,elevation.meters,canopy.n,canopy.w,canopy.s,canopy.e,notes
ll.02,12/4/12,NA,NA,NA,NA,NA,NA,5.2,41_08.342,110_56.638,1357,20,21,6,2,
ll.24,12/4/12,85,90,65,70,16.6,30.5,6.5,41_08.331,110_56.719,1370,94,63,45,96,
ll.23,12/4/12,20,25,35,5,7,31.5,5.2,41_05.348,110_56.729,1368,91,96,20,27,
ll.13,12/3/12,30,15,40,10,4.3,28,2.8,41_08.378,110_56.830,1369,95,80,10,96,
ll.14,12/3/12,2,5,10,10,4.3,24.5,2.5,41_08.382,110_56.795,1360,1,0,9,8,
ll.15,12/3/12,70,60,65,50,10.3,53,4.3,41_08.373,110_56.793,1358,1,42,24,12,
ll.16,12/3/12,3,2,3,2,3,18,2.7,41_08.356,110_56.796,1368,18,96,96,61,
ll.17,12/3/12,15,10,25,10,8.1,32,6.2,41_08.342,110_56.804,1360,71,82,95,73,
ll.18,12/3/12,15,10,6,2,4.4,17.5,4,41_08.287,110_56.639,1362,28,70,75,51,
ll.19,12/3/12,25,5,10,4,10.2,13,4.4,41_08.289,110_56.609,1364,14,96,29,96,dbh is total of both leads
ll.20,12/3/12,40,15,5,5,8.1,30,3.8,41_08.318,110_56.643,1357,0,7,0,68,
ll.21,12/3/12,35,25,35,20,7.4,41,4.3,41_08.321,110_56.651,1354,15,60,1,24,
ll.08,12/3/12,5,10,10,3,4.1,22.5,3,41_.08.315,110_56.630,NA,0,25,80,0,
ll.09,12/3/12,70,75,70,40,10,48,4.4,41_08.340,110_56.612,1360,96,96,94,95,
ll.10,12/3/12,25,10,75,2,7,30.1,3.6,41_08.337,110_56.649,1362,5,22,86,0,
gnu.468,12/3/12,NA,NA,NA,NA,NA,NA,3,41_08.308,110_56.655,1324,96,13,86,1,check tree number
gnu.13,12/3/12,NA,NA,NA,NA,NA,NA,7.4,41_08.306,110_56.621,1361,24,96,90,96,
ll.25,12/4/12,23,3,8,5,3.4,23,2.4,41_08.311,110_56.678,1360,6,10,22,0,
gnu.85,12/4/12,NA,NA,NA,NA,NA,NA,6.2,41_08.322,110_56.683,1362,0,0,91,86,One foot from 85
ll.26,12/4/12,90,80,60,35,15.1,48,3.3,41_08.332,110_56.550,1365,92,96,92,96,
