"Tree","geno","Quadrat location (cm abvove ground)","Total cover ","Roughness ","X. galericulata","Caloplaca holocarpa","Candelariella subdeflexa","Rhinodina glauca","Lecanora sp.","Phyciella melanchra","Physcia adscendens","Physcia undulata","X. montana","UK Moss #1","Unknown Physcioid","Unknown, totally"
"N1-01",1017,"South 45-55",,,,,,,,,,,,,,
"N1-01",1017,"South 80-90",,,,,,,,,,,,,,
"N1-01",1017,"North 45-55",,,,,,,,,,,,,,
"N1-01",1017,"North 80-90",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-04",1017,"South 45-55",0.50,100.00,0.40,,,,,0.10,,,,,,
"N1-04",1017,"South 80-90",9.00,40.00,8.00,,,,,0.75,,,,,,
"N1-04",1017,"North 45-55",30.00,90.00,27.00,0.10,0.25,,,,,0.25,,,,
"N1-04",1017,"North 80-90",21.00,60.00,15.00,0.10,7.00,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-05","T6-C","South 45-55",1.00,50.00,1.00,,,,,,,,,,,
"N1-05","T6-C","South 80-90",,75.00,,,,,,,,,,,,
"N1-05","T6-C","North 45-55",30.00,70.00,30.00,,,,,,,,,,,
"N1-05","T6-C","North 80-90",40.00,50.00,40.00,0.10,0.10,,,0.60,,,0.25,,,
,,,,,,,,,,,,,,,,
"N1-07","T6-B","South 45-55",1.00,80.00,1.00,,,,,,,,,,,
"N1-07","T6-B","South 80-90",8.00,80.00,7.00,,,,,1.50,,,,,,
"N1-07","T6-B","North 45-55",12.00,60.00,13.00,0.10,0.10,,,,,,,,,
"N1-07","T6-B","North 80-90",1.50,20.00,1.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-08",1017,"South 45-55",0.10,55.00,0.10,,,,,,,,,,,
"N1-08",1017,"South 80-90",0.10,40.00,0.10,,,,,,,,,,,
"N1-08",1017,"North 45-55",7.00,40.00,7.00,0.10,0.50,0.10,,0.20,,,,,,
"N1-08",1017,"North 80-90",5.00,35.00,6.00,0.10,1.00,,0.10,0.10,,,0.10,,,
,,,,,,,,,,,,,,,,
"N1-10",996,"South 45-55",,30.00,,,,,,,,,,,,
"N1-10",996,"South 80-90",,10.00,,,,,,,,,,,,
"N1-10",996,"North 45-55",2.00,15.00,2.00,,,,,,,,,,,
"N1-10",996,"North 80-90",7.00,20.00,7.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-11","T6-B","South 45-55",0.10,90.00,0.10,,,,,,,,,,,
"N1-11","T6-B","South 80-90",,70.00,,,,,,,,,,,,
"N1-11","T6-B","North 45-55",40.00,90.00,45.00,,,,,,,0.25,,,,
"N1-11","T6-B","North 80-90",60.00,80.00,60.00,0.10,,,,,0.50,,,,,
,,,,,,,,,,,,,,,,
"N1-12","T15","South 45-55",,20.00,,,,,,,,,,,,
"N1-12","T15","South 80-90",,40.00,,,,,,,,,,,,
"N1-12","T15","North 45-55",,20.00,,,,,,,,,,,,
"N1-12","T15","North 80-90",,20.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-16",1017,"South 45-55",4.00,65.00,4.00,,,,,,,,,,,
"N1-16",1017,"South 80-90",3.00,30.00,3.00,,,,,,,,,,,
"N1-16",1017,"North 45-55",35.00,70.00,30.00,0.75,,,0.10,0.10,,,,,,
"N1-16",1017,"North 80-90",10.00,100.00,8.00,0.10,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-20",1017,"South 45-55",1.00,20.00,1.00,,,,,,,,,,,
"N1-20",1017,"South 80-90",0.50,10.00,0.50,,,,,,,,,,,
"N1-20",1017,"North 45-55",75.00,10.00,60.00,,1.00,,,1.00,,,,,,
"N1-20",1017,"North 80-90",,85.00,25.00,0.10,4.00,,,1.25,,0.25,,,,
,,,,,,,,,,,,,,,,
"N1-24",1017,"South 45-55",8.00,10.00,5.50,0.10,0.10,,,0.25,,,,,,
"N1-24",1017,"South 80-90",1.00,20.00,1.00,,,,,,,,,,,
"N1-24",1017,"North 45-55",90.00,85.00,,,0.50,,,1.00,1.00,,,3.00,,0.50
"N1-24",1017,"North 80-90",30.00,25.00,25.00,,0.50,,,0.25,0.50,,,,,
,,,,,,,,,,,,,,,,
"N1-27",1023,"South 45-55",0.50,50.00,0.50,,,,,,,,,,,
"N1-27",1023,"South 80-90",1.00,50.00,1.00,,,,,,,,,,,
"N1-27",1023,"North 45-55",1.50,40.00,1.50,,,,,,,,,,,
"N1-27",1023,"North 80-90",0.25,30.00,0.25,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-28",999,"South 45-55",,5.00,,,,,,,,,,,,
"N1-28",999,"South 80-90",0.25,15.00,0.25,,,,,,,,,,,
"N1-28",999,"North 45-55",0.50,60.00,0.50,,,,,,,,,,,
"N1-28",999,"North 80-90",0.50,50.00,0.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-29","EC1","South 45-55",,50.00,,,,,,,,,,,,
"N1-29","EC1","South 80-90",0.25,60.00,0.25,,,,,,,,,,,
"N1-29","EC1","North 45-55",5.00,35.00,5.00,,,,,,,0.10,,,,
"N1-29","EC1","North 80-90",1.50,50.00,1.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-31",1008,"South 45-55",1.00,20.00,0.25,,,,,0.10,,,,,,
"N1-31",1008,"South 80-90",0.25,20.00,0.25,,,,,,,,,,,
"N1-31",1008,"North 45-55",,10.00,,,,,,,,,,,,
"N1-31",1008,"North 80-90",,5.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-34",996,"South 45-55",0.10,15.00,0.10,,,,,,,,,,,
"N1-34",996,"South 80-90",0.10,10.00,0.10,,,,,,,,,,,
"N1-34",996,"North 45-55",7.00,25.00,6.00,,0.25,,,0.10,,,,,,
"N1-34",996,"North 80-90",1.00,15.00,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-36",11,"South 45-55",,10.00,,,,,,,,,,,,
"N1-36",11,"South 80-90",,15.00,,,,,,,,,,,,
"N1-36",11,"North 45-55",0.10,10.00,0.10,,,,,,,,,,,
"N1-36",11,"North 80-90",0.25,20.00,0.25,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N1-40","RL6","South 45-55",0.10,80.00,0.10,,,,,,,,,,,
