Tree.ID,Quad.Loc,Aspect,Pct.Roughness,Pct.Total.Cover,X. galericulata,X. montana,Caloplaca holocarpa,Candelariella subdeflexa,Rinodina glauca,Lecanora sp.,Phyciella melanchra ,Physcia adscendens,Physcia undulata,Lec hag,Phaeophyscia orbicularis (darker stuff),Phaeophyscia ciliata (grey-black-cupped-foliose),Melanelia subolivacea,Meanelia elegantula,UK Moss #1,Unknown phycia,LittleBlackBalls,Notes,Sample date,Bole.Circ.cm,DBH.cm,Age,Final ID notes
GNU-13,South_45-55,South,100,25,15,5,,,,,,,,,0.5,,,,,,,"The canopy was cover was 100% on ""both sides""",5/1/12,64.5,17.5,,"I asume the thing I thought was dead X.gal is what Rikke Ided as Pha orbicularis, so I switched the 0.5% dead X.gal? to Pha orb."
GNU-13,South_80-90,South,100,60,25,3,,0.5,,0.01,,,,,,,,,,,,The leccanora was all Lec Black,5/1/12,,,,Rikke found P. holocarpa on this samples but I did not see it so I will not include it. I am sure the voucher was from outside the quadrat.
GNU-13,North_45-55,North,80,20,11,8,,,,0.5,,,,0.05,,2,,,,,,,5/1/12,,,,I switched the grey-black cupped foliose to Phae. Ciliata
GNU-13,North_80-90,North,85,15,9,4,,,,,,,,,,,,,,,,,5/1/12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNU-16,South_45-55,South,90,5,8,,,2.5,0.125,0.125,,,,,,,,,,,,Lec is lec black,5/1/12,70,17.5,,"Rikke also found R. glauca on this sample, in the vouchers; I am splitting the .25 cover for this quadrat into  lec and Rino, because I know I had problems telling the IDs apart in the field. I am not doing this for the other quadrat with Lec because it has so little in it. However, I am not adding lec hag at the moment, because I did not see it and I do not know how to add it, even though Rikke saw it in the vouchers, I did not see it myself in the field."
GNU-16,South_80-90,South,60,15,13,,,,,0.01,,,,,,,,,,,,Lec is lec black,5/1/12,,,,
GNU-16,North_45-55,North,90,1.5,1,,,0.1,,,,,,,0.1,,,,,,,,5/1/12,,,,Moved the dead X. gal to Phae. Orb. There was no Phae. Orb originally.
GNU-16,North_80-90,North,85,45,35,,,0.01,,,,,,,0.05,,,,,,,,5/1/12,,,,Moved the dead X. gal to Phae. Orb. There was no Phae. Orb originally.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNU-19,South_45-55,South,95,20,15,0.01,,,,,,,,,,,,,,,,,5/1/12,110,31.3,,
GNU-19,South_80-90,South,95,15,5,1,,,,,,,,,,,,,,,,,5/1/12,,,,
GNU-19,North_45-55,North,100,75,40,20,,1,0.1,1.5,,,,0.25,0.01,,,,,,,"The X. gal thalli were oddly small on the whole tree. For the Lec, 0.5% was lec brown, 0.1% was lec black with no margin, and 1.0 was lec black. Canopy cover was 90 on the south and 88 on the north (still needs to be converted from densiometer), which was the number of 0.25 dots covered taken ~ .5 meters from tree trunk.",5/1/12,,,,"Moved .25 lec grey, big, to lec hag.  Moved .1 cover lec sp to Rinodina based on my field notes and Rikke's IDs. Rikke found Melanelia subolivacea and Pha orb on this tree but I only have stuff in Physcia.DarkGrey…I probably lumped them; I decided to randomly assign the stuff in North 45-55 to Pha orb and the stuff in north 80-90 to Mel sub."
GNU-19,North_80-90,North,100,60,25,15,,0.5,0.01,1,,,,,,,0.05,,,,,The lec was 1.0% lec black and 0.01% leck black with no margin.,5/1/12,,,,Moved .01 cover lec sp to Rinodina based on my field notes and Rikke's IDs. Rikke found Melanelia subolivacea and Pha orb on this tree but I only have stuff in Physcia.DarkGrey…I probably lumped them; I decided to randomly assign the stuff in North 45-55 to Pha orb and the stuff in north 80-90 to Mel sub.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNU-37,South_45-55,South,85,0.5,0.5,,,0.01,0.5,0.5,,,,,,,,,,,,The lec was lec black.,5/1/12,65,14.2,,"I originally noted no Rinodina, but Rikke found Rino and Lec on this tree, so I split the 1% lec between Rino and lec."
GNU-37,South_80-90,South,50,50,,0.25,0.01,1,,,,,,,,,,,,,,,,,,,"Rikke did not find C. holocarpa but I noted it on the datasheet (.01%), so I left it there."
GNU-37,North_45-55,North,75,15,8,,,0.1,3,3,,,,0.01,,,,,,,,1% of the lec was lec brown and 5% was lec light.,,,,,"I originally noted no Rinodina, but Rikke found Rino and Lec on this tree, so I split the 6% lec between Rino and lec."
GNU-37,North_80-90,North,50,40,35,0.5,,4,0.5,0.5,1,,,0.25,,,,,,,,The dark grey physica may be P. melanchra. The Lec was Lec black.,,,,,"I originally found .5 P. mel and .5 DarkGrey. Physcioid, but Rikke only Ided P.mel, so I added them together under P. mel. I originally noted no Rinodina, but Rikke found Rino and Lec on this tree, so I split the 1% lec between Rino and lec."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNU-59?,South_45-55,South,25,3,4,,,,,,,,,,,,,,,,,,,37.5,10,,
GNU-59?,South_80-90,South,65,30,25,,,,,,,,,,,,,,,,,,,,,,"I am not adding lec hag at the moment, because I did not see it and I do not know how to add it."
GNU-59?,North_45-55,North,20,40,8,,,0.01,10,25,,,,,,,,,,,,"The Lec is lec brown, and the Rhinodina might just be Lec black. The north upper and lower quadrats may be reversed, but I am not positive.",,,,,
