Tree,Tree,Geno,Row,Col,Xgal,Csub,Lsp,Chol,Xmon,Pmel,Pads,Pund,Rsp
???N7.7,???N7.7,,1,1,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,1,3,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,1,5,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,1,7,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,1,9,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,2,2,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,2,4,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,2,6,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,2,8,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,2,10,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,3,1,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,3,3,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,3,5,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,3,7,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,3,9,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,4,2,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,4,4,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,4,6,1,1,0,0,0,0,0,0,0
???N7.7,???N7.7,,4,8,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,4,10,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,5,1,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,5,3,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,5,5,1,1,0,0,0,0,0,0,0
???N7.7,???N7.7,,5,7,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,5,9,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,6,2,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,6,4,1,1,0,1,0,0,0,0,0
???N7.7,???N7.7,,6,6,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,6,8,1,1,0,0,0,0,0,0,0
???N7.7,???N7.7,,6,10,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,7,1,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,7,3,1,1,0,0,0,0,0,0,0
???N7.7,???N7.7,,7,5,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,7,7,1,1,0,1,0,0,0,0,0
???N7.7,???N7.7,,7,9,1,0,0,0,1,0,0,0,0
???N7.7,???N7.7,,8,2,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,8,4,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,8,6,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,8,8,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,8,10,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,9,1,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,9,3,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,9,5,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,9,7,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,9,9,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,10,2,0,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,10,4,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,10,6,1,1,0,0,0,0,0,0,0
???N7.7,???N7.7,,10,8,1,0,0,0,0,0,0,0,0
???N7.7,???N7.7,,10,10,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,1,1,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,1,3,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,1,5,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,1,7,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,1,9,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,2,2,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,2,4,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,2,6,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,2,8,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,2,10,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,3,1,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,3,3,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,3,5,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,3,7,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,3,9,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,4,2,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,4,4,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,4,6,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,4,8,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,4,10,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,5,1,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,5,3,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,5,5,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,5,7,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,5,9,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,6,2,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,6,4,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,6,6,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,6,8,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,6,10,1,1,0,0,0,0,0,0,0
N1.11,N1.11,,7,1,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,7,3,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,7,5,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,7,7,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,7,9,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,8,2,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,8,4,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,8,6,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,8,8,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,8,10,1,1,0,0,0,0,0,0,0
N1.11,N1.11,,9,1,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,9,3,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,9,5,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,9,7,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,9,9,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,2,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,4,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,6,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,8,1,0,0,0,0,0,0,0,0
N1.11,N1.11,,10,10,1,0,0,0,0,0,0,1,0
N1.05,N1.05,,1,1,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,1,3,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,1,5,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,1,7,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,1,9,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,2,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,4,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,6,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,8,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,2,10,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,1,0,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,3,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,5,1,0,0,0,0,0,0,0,0
N1.05,N1.05,,3,7,1,0,0,0,0,0,0,0,0
