"","tree","geno","year","c.obs","ses","pval.l","pval.u"
"1","N1.11","T6","2010",0.666666666666667,0,1,1
"2","N1.40","RL6","2010",0,-4.87442304278158,0.04,1
"3","N1.5","T6","2010",0,0,1,1
"4","N1.7","T6","2010",0,-0.203100960115899,0.96,1
"5","N1.8","1017","2010",0,-1.75521964978033,0.1,1
"6","N2.15","1017","2010",1.16666666666667,-1.57596391704454,0.18,1
"7","N2.28","WC5","2010",0,-0.349799300402099,0.89,1
"8","N2.3","1017","2010",0,-2.83586112742832,0.03,1
"9","N2.31","WC5","2010",8,-1.84968147706349,0.06,1
"10","N2.44","RL6","2010",3.16666666666667,-1.10680048854737,0.11,1
"11","N3.13","1017","2010",0.5,-1.7778807832417,0.21,1
"12","N4.12","WC5","2010",0,-0.378752690014453,0.86,1
"13","N4.16","H10","2010",0.9,0,1,1
"14","N5.12","1005","2010",9.33333333333333,-1.36935922522034,0.17,1
"15","N5.13","1005","2010",7.1904761904762,-1.88307646152803,0.09,0.99
"16","N5.5","1005","2010",0,-0.881962098311,0.56,1
"17","N6.16","RL6","2010",1.46666666666667,-3.33891974804074,0,1
"18","N6.4","H10","2010",3.9,0.272976425781162,1,0.93
"19","N6.6","1005","2010",0,-0.698292159700012,0.67,1
"20","N7.7","H10","2010",1.66666666666667,-0.251379174478918,0.94,1
"21","N7.8","WC5","2010",6,-0.481894409826699,0.81,1
"22","N1.10","996","2011",0,0,1,1
"23","N1.24","1017","2011",25.6666666666667,-1.72903225195054,0.12,0.99
"24","N1.27","1023","2011",0,0,1,1
"25","N1.28","999","2011",0,-2.2798026230356,0.16,1
"26","N1.31","1008","2011",0,0,1,1
"27","N1.34","996","2011",2,-2.80583257006580,0,1
"28","N1.36","11","2011",0,0,1,1
"29","N1.4","1017","2011",42,0,1,1
"30","N2.10","996","2011",0,0,1,1
"31","N2.11","1012","2011",13,0.251379174478917,1,0.94
"32","N2.12","1023","2011",0,-0.867994580218624,0.55,1
"33","N2.14","1023","2011",46,2.69443871706150,1,0.12
"34","N2.16","996","2011",15.6,0.420589570242205,0.83,0.39
"35","N2.17","1012","2011",0,0,1,1
"36","N2.20","1012","2011",17.3333333333333,-0.967102306165636,0.31,1
"37","N2.25","1008","2011",5,-1.48319855384502,0.17,1
"38","N2.29","996","2011",0,0,1,1
"39","N2.33","11","2011",4.07142857142857,-3.22861156124457,0.04,1
"40","N2.35","11","2011",0,0,1,1
"41","N2.4","996","2011",2.5,-0.884446385515692,0.41,0.84
"42","N2.45","1012","2011",6.93333333333333,-1.39095155406103,0,1
"43","N3.17","1008","2011",0,-1.57479468385614,0.15,1
"44","N3.2","11","2011",3,-1.54479185318159,0.23,1
"45","N3.3","1007","2011",0,0,1,1
"46","N3.31","1007","2011",0,0,1,1
"47","N3.6","996","2011",0,0,1,1
"48","N4.14","1008","2011",0,-1.41774468787578,0.33,1
"49","N4.18","1007","2011",0,0,1,1
"50","N4.20","1023","2011",4.5,0.661117271569321,0.92,0.68
"51","N4.24","10","2011",0,0,1,1
"52","N4.26","999","2011",6.66666666666667,0,1,1
"53","N4.30","11","2011",0,0,1,1
"54","N5.17","10","2011",11.3333333333333,-1.51986841535707,0.3,1
"55","N5.2","1008","2011",2.6,-1.73256668129180,0.14,1
"56","N5.26","999","2011",0,0,1,1
"57","N6.10","10","2011",0,0,1,1
"58","N6.17","996","2011",0,0,1,1
"59","N6.9","1008","2011",0,-0.807682885918138,0.36,1
"60","N7.10","10","2011",6.38095238095238,-1.52283438370072,0.04,1
"61","N7.3","1008","2011",2,-2.3685438564654,0.15,1
