"tree","geno","year","c.obs","ses","pval.l","pval.u"
"N1.11_n45.55","T6",2010,0.333333333333333,0.127913311367991,1,0.9839
"N1.40_n45.55","RL6",2010,0,-2.58225575520243,0.1304,1
"N1.5_n45.55","T6",2010,0,0,1,1
"N1.7_n45.55","T6",2010,0,-1.40734606944166,0.0063,1
"N1.8_n45.55","1017",2010,0,-3.47605207258532,0.0027,1
"N2.15_n45.55","1017",2010,0.7,-2.13956619420992,0.0179,1
"N2.28_n45.55","WC5",2010,0,-1.3497798416748,0.2632,1
"N2.3_n45.55","1017",2010,0,-2.91361941715592,0.0024,1
"N2.31_n45.55","WC5",2010,4,-2.57240968629878,0.0035,1
"N2.44_n45.55","RL6",2010,1.9,-1.91217908205159,0.0136,0.9986
"N3.13_n45.55","1017",2010,0.333333333333333,-1.72584977196207,0.0121,0.9989
"N4.12_n45.55","WC5",2010,0,-1.22782425032413,0.3049,1
"N4.16_n45.55","H10",2010,0.6,-0.731012570010403,0.6216,0.9715
"N5.12_n45.55","1005",2010,5.6,-2.07956525272489,0.0205,0.988
"N5.13_n45.55","1005",2010,5.61904761904762,-1.58257498322046,0.0438,0.9584
"N5.5_n45.55","1005",2010,0,-2.18191530407673,0.0448,1
"N6.16_n45.55","RL6",2010,0.533333333333333,-1.77539348127127,0.073,0.9689
"N6.4_n45.55","H10",2010,2.6,1.1181488351913,1,0.3633
"N6.6_n45.55","1005",2010,0,-1.03412651401131,0.0072,1
"N7.7_n45.55","H10",2010,0.833333333333333,-1.46920517595948,0.1618,0.9955
"N7.8_n45.55","WC5",2010,3.6,-1.61089237699773,0.0239,0.9991
"N1.10_n45.55","996",2011,0,0,1,1
"N1.24_n45.55","1017",2011,15.4,0.50689966315906,0.6942,0.3409
"N1.27_n45.55","1023",2011,0,0,1,1
"N1.28_n45.55","999",2011,0,-1.52599538578706,0.3004,1
"N1.31_n45.55","1008",2011,0,0,1,1
"N1.34_n45.55","996",2011,1,-1.99393397353274,0.0376,0.9937
"N1.36_n45.55","11",2011,0,0,1,1
"N1.4_n45.55","1017",2011,14,1.37460123868409,0.9945,0.3287
"N2.10_n45.55","996",2011,0,0,1,1
"N2.11_n45.55","1012",2011,6.5,1.03272068143399,1,0.4152
"N2.12_n45.55","1023",2011,0,-3.02618655542569,0.0034,1
"N2.14_n45.55","1023",2011,15.3333333333333,0.136213456063067,0.7871,0.6848
"N2.16_n45.55","996",2011,10.4,-1.57279556817607,0.052,0.9581
"N2.17_n45.55","1012",2011,0,0,1,1
"N2.20_n45.55","1012",2011,8.66666666666667,-1.63160958098497,0.0933,0.9606
"N2.25_n45.55","1008",2011,2.5,-2.33529495046005,0.0126,0.9948
"N2.29_n45.55","996",2011,0,0,1,1
"N2.33_n45.55","11",2011,2.28571428571429,-2.52547547067083,0.0026,0.9987
"N2.35_n45.55","11",2011,0,0,1,1
"N2.4_n45.55","996",2011,1.8,-2.83656128207080,0.0084,0.998
"N2.45_n45.55","1012",2011,4.95238095238095,-2.46837833930910,0.0068,0.9932
"N3.17_n45.55","1008",2011,0,-3.16023551939801,0.006,1
"N3.2_n45.55","11",2011,3,-4.10302436727126,0.0016,1
"N3.3_n45.55","1007",2011,0,0,1,1
"N3.31_n45.55","1007",2011,0,0,1,1
"N3.6_n45.55","996",2011,0,0,1,1
"N4.14_n45.55","1008",2011,0,-0.984451330931468,0.0297,1
"N4.18_n45.55","1007",2011,0,0,1,1
"N4.20_n45.55","1023",2011,2.7,-0.588720813969643,0.4776,0.8352
"N4.24_n45.55","10",2011,0,0,1,1
"N4.26_n45.55","999",2011,3.33333333333333,0.679632111452982,1,0.6629
"N4.30_n45.55","11",2011,0,0,1,1
"N5.17_n45.55","10",2011,5.66666666666667,-0.450612708121585,0.2254,0.776
"N5.2_n45.55","1008",2011,1.73333333333333,-1.96894380778735,0.0374,0.983
"N5.26_n45.55","999",2011,0,0,1,1
"N6.10_n45.55","10",2011,0,0,1,1
"N6.17_n45.55","996",2011,0,0,1,1
"N6.9_n45.55","1008",2011,0,-2.53029057510672,0.002,1
"N7.10_n45.55","10",2011,5.80952380952381,-3.10610638899844,0.0058,0.9942
"N7.3_n45.55","1008",2011,1.2,-0.990748044517534,0.4194,0.9699
"N7.10_n80.90","10",2011,0,-1.85812149111806,0.1325,1
"N7.3_n80.90","1008",2011,0,0,1,1
"N7.7_n80.90","H10",2011,0,0,1,1
"N7.8_n80.90","WC5",2011,0.4,-2.9589591749071,2e-04,1
"N6.4_n80.90","H10",2011,0,0,1,1
"N6.9_n80.90","1008",2011,0,-0.411421574210757,0.8467,1
"N6.6_n80.90","1005",2011,0,0,1,1
"N6.10_n80.90","10",2011,0.5,-1.05905459412197,0.0406,0.9996
"N6.16_n80.90","RL6",2011,0.833333333333333,-0.689097490028473,0.5924,0.8571
"N6.17_n80.90","996",2011,0,0,1,1
"N5.26_n80.90","999",2011,0,0,1,1
"N5.17_n80.90","10",2011,0,0,1,1
"N5.13_n80.90","1005",2011,4.3,-4.70689568406922,0.0025,1
"N5.12_n80.90","1005",2011,3.33333333333333,0.451400780902997,0.8451,0.3163
"N5.5_n80.90","1005",2011,1.26666666666667,-1.2544963550383,0.0501,0.9801
"N5.2_n80.90","1008",2011,0.6,-1.99646269686906,0.0427,0.9919
"N4.12_n80.90","WC5",2011,0.666666666666667,-1.37595861945247,0.1988,0.9542
"N4.14_n80.90","1008",2011,0,0,1,1
"N4.16_n80.90","H10",2011,0,-0.448210444297996,0.8327,1
"N4.18_n80.90","1007",2011,0,0,1,1
"N4.20_n80.90","1023",2011,0.4,-2.30653132853361,0.0299,1
"N4.24_n80.90","10",2011,0,0,1,1
"N4.26_n80.90","999",2011,0,0,1,1
"N4.30_n80.90","11",2011,0,-4.27251787361447,0,1
"N3.31_n80.90","1007",2011,0,0,1,1
"N3.17_n80.90","1008",2011,0,0,1,1
"N3.13_n80.90","1017",2011,4.5,-0.521357412262459,0.5973,0.722
"N3.6_n80.90","996",2011,0,0,1,1
"N3.3_n80.90","1007",2011,0,-1.47389673098357,0.3152,1
"N3.2_n80.90","11",2011,0,-1.33213344651607,0.2723,1
"N2.11_n80.90","1012",2011,1.33333333333333,-3.14261016931791,0.0119,1
"N2.10_n80.90","996",2011,0,0,1,1
"N2.4_n80.90","996",2011,0.333333333333333,-1.19848368940107,0.3127,0.9984
"N2.3_n80.90","1017",2011,0,-0.613071563426508,0.7268,1
"N2.12_n80.90","1023",2011,0,0,1,1
"N2.14_n80.90","1023",2011,0.333333333333333,-1.39841220938286,0.1976,1
