"","tree","geno","year","c.obs","ses","pval.l","pval.u"
"1","N1.11","T6",2010,2.73333333333333,-3.2582213052953,2e-04,1
"2","N1.40","RL6",2010,0,-2.42803879989450,0.145,1
"3","N1.5","T6",2010,2.5,-1.92064821100123,0,1
"4","N1.7","T6",2010,0,-1.40666453565764,0,1
"5","N1.8","1017",2010,3.33333333333333,-5.17842510050709,0,1
"6","N2.15","1017",2010,1.16666666666667,-2.82556656224126,0,1
"7","N2.28","WC5",2010,0,-1.06237652990054,0.42,1
"8","N2.3","1017",2010,0,-1.94681067140230,0.033,1
"9","N2.31","WC5",2010,11.8333333333333,-6.26748282976367,0,1
"10","N2.44","RL6",2010,6.16666666666667,-1.60047223439461,0,1
"11","N3.13","1017",2010,5.6,-2.03580012630279,0.0152,0.9848
"12","N4.12","WC5",2010,3,-1.81540898804451,0.0728,0.9952
"13","N4.16","H10",2010,1.3,-0.748618656770116,0.5986,0.6858
"14","N5.12","1005",2010,20.9,-1.83091314950026,0.0608,0.9416
"15","N5.13","1005",2010,22.2380952380952,-4.89092795192743,0,1
"16","N5.5","1005",2010,2.8,-2.48331907815521,0,1
"17","N6.16","RL6",2010,6.26666666666667,-5.2669063002926,0,1
"18","N6.4","H10",2010,7.2,1.30612582351042,1,0.3338
"19","N6.6","1005",2010,0,-1.90956472799558,0,1
"20","N7.7","H10",2010,1.66666666666667,-1.00697185777572,0.3752,0.9836
"21","N7.8","WC5",2010,10.9,-4.37126205445663,0,1
"22","N1.10","996",2011,37,-0.94338318424105,0.3082,0.9104
"23","N1.24","1017",2011,38.6,0.840434907247322,0.8558,0.203
"24","N1.27","1023",2011,0,0,1,1
"25","N1.28","999",2011,0,-1.06565107657304,0.4682,1
"26","N1.31","1008",2011,0,0,1,1
"27","N1.34","996",2011,2,-3.54529504305622,0,1
"28","N1.36","11",2011,0,0,1,1
"29","N1.4","1017",2011,39.3333333333333,-1.89087802538605,0.0224,0.9796
"30","N2.10","996",2011,0,0,1,1
"31","N2.11","1012",2011,25,-0.97963640236368,0.2446,0.9198
"32","N2.12","1023",2011,0,-4.52178139576773,0,1
"33","N2.14","1023",2011,36.6666666666667,-0.598968876699604,0.3606,0.826
"34","N2.16","996",2011,18.5,-4.70605182283234,0,1
"35","N2.17","1012",2011,28,-0.373653851697715,0.5702,0.8382
"36","N2.20","1012",2011,17,-3.25439947120602,0,1
"37","N2.25","1008",2011,5,-4.05642768623324,0,1
"38","N2.29","996",2011,0,0,1,1
"39","N2.33","11",2011,8.14285714285714,-4.8503889949992,0,1
"40","N2.35","11",2011,0,0,1,1
"41","N2.4","996",2011,3.4,-4.29407104390297,0,1
"42","N2.45","1012",2011,10.6666666666667,-2.03676593605901,0.027,0.9848
"43","N3.17","1008",2011,0,-7.3729419423963,0,1
"44","N3.2","11",2011,7.8,-4.79958663588523,0,1
"45","N3.3","1007",2011,0,-4.55356811837658,0.046,1
"46","N3.31","1007",2011,0,0,1,1
"47","N3.6","996",2011,0,0,1,1
"48","N4.14","1008",2011,0,-2.53522046063522,0,1
"49","N4.18","1007",2011,0,0,1,1
"50","N4.20","1023",2011,4.46666666666667,-2.97435528218975,0,1
"51","N4.24","10",2011,0,0,1,1
"52","N4.26","999",2011,6.66666666666667,0.498387161548634,1,0.801
"53","N4.30","11",2011,0,-5.09493909177047,0,1
"54","N5.17","10",2011,20,-0.875669375714774,0.1426,0.8574
"55","N5.2","1008",2011,4.8,-2.44162185441225,0.006,0.994
"56","N5.26","999",2011,0,0,1,1
"57","N6.10","10",2011,1,-1.46745016270227,0,1
"58","N6.17","996",2011,0,0,1,1
"59","N6.9","1008",2011,0,-2.04912219436663,0,1
"60","N7.10","10",2011,7.04761904761905,-6.55429419295582,0,1
"61","N7.3","1008",2011,2.5,-1.03532361389820,0.4826,1
