"","tree","geno","year","c.obs","ses","pval.l","pval.u"
"1","N1.11","T6",2010,1.95238095238095,-6.74141669823504,1e-04,1
"2","N1.40","RL6",2010,0,-8.27346525271777,1e-04,1
"3","N1.5","T6",2010,1.5,-7.78487456136372,0,1
"4","N1.7","T6",2010,0,-6.88357666316842,0,1
"5","N1.8","1017",2010,2,-8.0504811403409,0,1
"6","N2.15","1017",2010,0.7,-7.42598427204839,0,1
"7","N2.28","WC5",2010,0,-7.70251686544757,6e-04,1
"8","N2.3","1017",2010,0,-7.8734784488378,0,1
"9","N2.31","WC5",2010,7.1,-8.23433278923149,4e-04,1
"10","N2.44","RL6",2010,3.7,-7.2307331028906,3e-04,0.9998
"11","N3.13","1017",2010,3.73333333333333,-7.12174599925329,3e-04,0.9999
"12","N4.12","WC5",2010,1.5,-6.51264695581845,0,1
"13","N4.16","H10",2010,0.866666666666667,-7.01322629696229,0,1
"14","N5.12","1005",2010,13.9333333333333,-7.12049023772778,3e-04,0.9997
"15","N5.13","1005",2010,18.7619047619048,-8.83543175908695,0,1
"16","N5.5","1005",2010,1.86666666666667,-7.87620617825619,0,1
"17","N6.16","RL6",2010,2.93333333333333,-7.1168958083405,2e-04,1
"18","N6.4","H10",2010,4.8,-7.22945382352302,0,1
"19","N6.6","1005",2010,0,-7.66135486647272,1e-04,1
"20","N7.7","H10",2010,0.833333333333333,-7.67144104464556,0,1
"21","N7.8","WC5",2010,7.26666666666667,-7.30756431693613,0,1
"22","N1.10","996",2011,12.3333333333333,-6.98708744579195,4e-04,0.9997
"23","N1.24","1017",2011,25.7333333333333,-7.24567411784279,0.0028,0.9974
"24","N1.27","1023",2011,0,-7.08000359860874,5e-04,1
"25","N1.28","999",2011,0,-7.19308159276728,0.0014,1
"26","N1.31","1008",2011,0,-6.32669612255647,7e-04,1
"27","N1.34","996",2011,1,-7.1053563031182,0,1
"28","N1.36","11",2011,0,-7.26598562979413,0,1
"29","N1.4","1017",2011,19.6666666666667,-6.81575239122999,0.0013,0.9987
"30","N2.10","996",2011,0,-6.16031242397167,0,1
"31","N2.11","1012",2011,12.5,-7.34732881404938,2e-04,1
"32","N2.12","1023",2011,0,-7.2799192822748,0,1
"33","N2.14","1023",2011,18.3333333333333,-6.77308246700523,0.0017,0.9986
"34","N2.16","996",2011,12.3333333333333,-7.6525060253105,0.001,0.9993
"35","N2.17","1012",2011,14,-6.80619498196507,9e-04,0.9991
"36","N2.20","1012",2011,15.3333333333333,-7.13980746192784,5e-04,0.9995
"37","N2.25","1008",2011,2.5,-7.11514121835735,0,1
"38","N2.29","996",2011,0,-7.8854447779473,6e-04,1
"39","N2.33","11",2011,6.07142857142857,-7.62491156687155,9e-04,1
"40","N2.35","11",2011,0,-7.42253189041262,1e-04,1
"41","N2.4","996",2011,2.86666666666667,-7.62334036996116,0,1
"42","N2.45","1012",2011,7.61904761904762,-6.7559857331891,0,1
"43","N3.17","1008",2011,0,-7.31925344683454,0,1
"44","N3.2","11",2011,7.8,-9.24739562484832,0,1
"45","N3.3","1007",2011,0,-7.00963687907715,0,1
"46","N3.31","1007",2011,0,-7.80321261023056,0,1
"47","N3.6","996",2011,0,-6.75013928557624,4e-04,1
"48","N4.14","1008",2011,0,-7.54184371700352,2e-04,1
"49","N4.18","1007",2011,0,-7.62843651037203,0,1
"50","N4.20","1023",2011,3.19047619047619,-7.01420620789033,0,1
"51","N4.24","10",2011,0,-6.79477585955164,4e-04,1
"52","N4.26","999",2011,3.33333333333333,-6.79158851775662,2e-04,0.9998
"53","N4.30","11",2011,0,-6.99842692366925,0,1
"54","N5.17","10",2011,10,-7.33404636020024,8e-04,1
"55","N5.2","1008",2011,3.42857142857143,-7.29899486781039,0,1
"56","N5.26","999",2011,0,-6.02780419947704,0.0011,1
"57","N6.10","10",2011,0.5,-7.50199322367484,2e-04,1
"58","N6.17","996",2011,0,-6.52677025384105,3e-04,1
"59","N6.9","1008",2011,0,-7.32851082567737,1e-04,1
"60","N7.10","10",2011,6.47619047619048,-8.63081789835529,1e-04,0.9999
"61","N7.3","1008",2011,1.5,-7.38849945170392,4e-04,0.9997
