"","tree.sample","geno.sample"
"1","N1-31","1008"
"2","N2-25","1008"
"3","N3-17","1008"
"4","N3-22","1008"
"5","N4-14","1008"
"6","N5-02","1008"
"7","N6-09","1008"
"8","N7-03","1008"
"9","N1-10","996"
"10","N1-34","996"
"11","N2-04","996"
"12","N2-10","996"
"13","N2-16","996"
"14","N2-29","996"
"15","N3-06","996"
"16","N3-27","996"
"17","N3-32","996"
"18","N1-36","11"
"19","N2-33","11"
"20","N2-35","11"
"21","N3-02","11"
"22","N4-30","11"
"23","N2-11","1012"
"24","N2-17","1012"
"25","N2-20","1012"
"26","N2-45","1012"
"27","N1-27","1023"
"28","N2-12","1023"
"29","N2-14","1023"
"30","N4-20","1023"
"31","N1-01","1017"
"32","N1-04","1017"
"33","N1-08","1017"
"34","N1-16","1017"
"35","N1-20","1017"
"36","N1-24","1017"
"37","N2-03","1017"
