"Tree.GE","Geno.GE","Total.Cover.GE","Roughness.GE ","X.galericulata.GE","C.holocarpa.GE","C.subdeflexa.GE","R.glauca.GE","Lecanora.sp.GE","P.melanchra.GE","P.adscendens.GE","P.undulata.GE","X.montana.GE","UK.Moss.1.GE","UK.Physcioid.GE"
"N4-24",10,4.625,25.000,4.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N5-17",10,3.150,11.250,2.900,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N6-10",10,3.250,9.000,3.500,0.100,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N7-10",10,7.750,25.000,7.750,0.100,0.300,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000
"NP-02-30",10,9.000,26.250,4.333,0.000,0.100,0.100,0.100,0.000,0.000,0.375,1.000,0.000,0.000
"NP-04-38",10,2.125,21.250,2.125,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000
"NP-04-40",10,2.000,35.250,7.000,0.100,0.100,0.100,0.000,1.000,0.000,0.100,0.000,0.000,0.000
"NP-05-43",10,2.025,30.000,2.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-06-28",10,0.050,42.500,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-36",11,0.175,13.750,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-33",11,12.250,40.000,10.750,0.550,2.575,0.000,0.100,0.250,0.500,0.000,0.000,0.000,0.000
"N2-35",11,5.625,63.750,4.875,0.200,0.100,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
"N3-02",11,2.667,34.250,1.833,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-30",11,6.088,51.250,5.588,0.000,1.500,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
"NP-02-31",11,5.000,42.500,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-04-36",11,11.313,46.250,9.313,0.100,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000
"NP-05-29",11,11.25,47.500,4.000,0.000,0.000,0.000,0.000,0.500,0.000,1.000,0.000,0.000,0.000
"NP-06-29",11,6.75,62.500,11.000,0.100,3.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
"NP-07-39",11,15.000,53.750,9.500,2.500,0.000,0.000,0.000,0.200,0.000,0.100,8.000,0.000,0.000
"N1-10",996,4.500,18.750,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N1-34",996,2.050,16.250,1.800,0.000,0.250,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
"N2-04",996,8.167,20.000,7.167,0.100,1.125,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000
"N2-10",996,0.175,10.000,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N2-16",996,11.063,36.250,8.563,0.500,1.500,0.000,0.250,0.100,0.100,0.000,0.500,0.250,0.000
"N2-29",996,0.833,28.750,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-06",996,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-27",996,1.700,9.750,1.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N3-32",996,0.100,28.750,0.100,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
"N6-17",996,0.175,16.750,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-02-08",996,0.625,10.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-02-10",996,0.025,20.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-02-12",996,0.838,10.000,0.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"NP-02-35",996,5.250,22.500,5.333,0.000,0.000,0.100,1.000,0.000,0.000,0.100,1.000,0.000,0.000
"NP-04-30",996,2.25,20.000,2.000,0.100,0.000,0.000,0.100,0.000,1.000,0.000,0.000,0.000,0.000
"N1-28",999,0.417,32.500,0.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"N4-26",999,6.000,35.000,6.000,0.000,2.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
"N5-26",999,0.100,41.250,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000
"NP-03-15",999,0.563,14.250,0.563,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000
