"Tree","geno","Quadrat location","Total cover","Roughness","X. galericulata","Caloplaca holocarpa","Candelariella subdeflexa","Rhinodina glauca","Lecanora sp.","Phyciella melanchra","Physcia adscendens","Physcia undulata","X. montana","UK Moss #1","Unknown Physcia","Date sampled","Notes"
"N1-01",1017,"South 45-55",,,,,,,,,,,,,,,
"N1-01",1017,"South 80-90",,,,,,,,,,,,,,,
"N1-01",1017,"North 45-55",,,,,,,,,,,,,,,
"N1-01",1017,"North 80-90",,,,,,,,,,,,,,,
"N1-04",1017,"South 45-55",0.5,100,0.4,0,0,0,0,0,0,0,0,,0.1,5/3/2010,
"N1-04",1017,"South 80-90",9,40,8,0,0,0,0,0.75,0,0,0,,0,5/3/2010,
"N1-04",1017,"North 45-55",30,90,27,0.1,0.25,0,0,0,0,0.25,0,,0,5/3/2010,
"N1-04",1017,"North 80-90",21,60,15,0,7,0,0,0,0,0,0.1,,0,5/3/2010,
"N1-05","T6-C","South 45-55",1,50,1,0,0,0,0,0,0,0,0,,0,5/3/2010,
"N1-05","T6-C","South 80-90",0,75,0,0,0,0,0,0,0,0,0,,0,5/3/2010,
"N1-05","T6-C","North 45-55",30,70,30,0,0,0,0,0,0,0,0,,0,5/3/2010,
"N1-05","T6-C","North 80-90",40,50,40,0.1,0.1,0,0,0.5,0,0,0.1,,0.1,5/3/2010,
"N1-07","T6-B","South 45-55",1,80,1,,,,,,,,,,,5/3/2010,
"N1-07","T6-B","South 80-90",8,80,7,,,,,1.5,,,,,,5/3/2010,
"N1-07","T6-B","North 45-55",13,60,13,0.1,0.1,,,,,,,,,5/3/2010,
"N1-07","T6-B","North 80-90",1.5,20,1.5,,,,,,,,,,,5/3/2010,
"N1-08",1017,"South 45-55",0.1,55,0.1,0,,,,,,,,,,5/3/2010,
"N1-08",1017,"South 80-90",0.1,40,0.1,0,,,,,,,,,,5/3/2010,
"N1-08",1017,"North 45-55",7,40,7,0.1,0.5,0.1,0,0.1,,,,,0.1,5/3/2010,
"N1-08",1017,"North 80-90",5,35,6,,1,,0.1,,,0.5,0.1,,,5/3/2010,
"N1-10",996,"South 45-55",0,30,0,,,,,,,,,,,,
"N1-10",996,"South 80-90",0,10,0,,,,,,,,,,,,
"N1-10",996,"North 45-55",2,15,2,,,,,,,,,,,,
"N1-10",996,"North 80-90",7,20,7,,,,,,,,,,,,
"N1-11","T6-B","South 45-55",0.1,90,0.1,,,,,,,,,,,,
"N1-11","T6-B","South 80-90",0,70,0,,,,,,,,,,,,
"N1-11","T6-B","North 45-55",40,90,45,,,,,,,0.25,,,,,
"N1-11","T6-B","North 80-90",60,80,60,,,,,,,,0.1,,,,
"N1-12","T15","South 45-55",0,20,0,0,0,0,0,0,0,0,0,,,,
"N1-12","T15","South 80-90",0,40,0,0,0,0,0,0,0,0,0,,,,
"N1-12","T15","North 45-55",0,20,0,0,0,0,0,0,0,0,0,,,,
"N1-12","T15","North 80-90",0,20,0,0,0,0,0,0,0,0,0,,,,
"N1-16",1017,"South 45-55",4,65,4,,,,,,,,,,,,
"N1-16",1017,"South 80-90",3,30,3,,,,,,,,,,,,
"N1-16",1017,"North 45-55",35,70,30,,,,0.1,,,,0.75,,0.1,,
"N1-16",1017,"North 80-90",10,100,8,,,,,,,,0.1,,,,
"N1-20",1017,"South 45-55",1,20,1,,,,,,,,,,,,
"N1-20",1017,"South 80-90",0.5,10,0.5,,,,,,,,,,,,
"N1-20",1017,"North 45-55",75,10,60,,1,,,1,,,,,,,
"N1-20",1017,"North 80-90",0,85,25,0.1,4,,,1,,0.25,,,,,
"N1-24",1017,"South 45-55",8,10,5.5,0.1,0.1,,,0.25,,,,,,,
"N1-24",1017,"South 80-90",1,20,1,0,0,,,,,,,,,,
"N1-24",1017,"North 45-55",90,85,0,0,0.5,,,1,1,,,,,,
"N1-24",1017,"North 80-90",30,25,25,0,0.5,,,0.25,0.5,,,,,,
"N1-27",1023,"South 45-55",,,,,,,,,,,,,,,
"N1-27",1023,"South 80-90",,,,,,,,,,,,,,,
"N1-27",1023,"North 45-55",,,,,,,,,,,,,,,
"N1-27",1023,"North 80-90",,,,,,,,,,,,,,,
"N1-28",999,"South 45-55",,,,,,,,,,,,,,,
"N1-28",999,"South 80-90",,,,,,,,,,,,,,,
"N1-28",999,"North 45-55",,,,,,,,,,,,,,,
"N1-28",999,"North 80-90",,,,,,,,,,,,,,,
"N1-29","EC1","South 45-55",,,,,,,,,,,,,,,
"N1-29","EC1","South 80-90",,,,,,,,,,,,,,,
"N1-29","EC1","North 45-55",,,,,,,,,,,,,,,
"N1-29","EC1","North 80-90",,,,,,,,,,,,,,,
"N1-31",1008,"South 45-55",,,,,,,,,,,,,,,
"N1-31",1008,"South 80-90",,,,,,,,,,,,,,,
"N1-31",1008,"North 45-55",,,,,,,,,,,,,,,
"N1-31",1008,"North 80-90",,,,,,,,,,,,,,,
"N1-34",996,"South 45-55",,,,,,,,,,,,,,,
"N1-34",996,"South 80-90",,,,,,,,,,,,,,,
"N1-34",996,"North 45-55",,,,,,,,,,,,,,,
"N1-34",996,"North 80-90",,,,,,,,,,,,,,,
"N1-36",11,"South 45-55",,,,,,,,,,,,,,,
"N1-36",11,"South 80-90",,,,,,,,,,,,,,,
"N1-36",11,"North 45-55",,,,,,,,,,,,,,,
"N1-36",11,"North 80-90",,,,,,,,,,,,,,,
"N2-03",1017,"South 45-55",,,,,,,,,,,,,,,
"N2-03",1017,"South 80-90",,,,,,,,,,,,,,,
"N2-03",1017,"North 45-55",,,,,,,,,,,,,,,
"N2-03",1017,"North 80-90",,,,,,,,,,,,,,,
"N2-04",996,"South 45-55",,,,,,,,,,,,,,,
"N2-04",996,"South 80-90",,,,,,,,,,,,,,,
"N2-04",996,"North 45-55",,,,,,,,,,,,,,,
"N2-04",996,"North 80-90",,,,,,,,,,,,,,,
"N2-10",996,"South 45-55",,,,,,,,,,,,,,,
"N2-10",996,"South 80-90",,,,,,,,,,,,,,,
"N2-10",996,"North 45-55",,,,,,,,,,,,,,,
"N2-10",996,"North 80-90",,,,,,,,,,,,,,,
"N2-11",1012,"South 45-55",,,,,,,,,,,,,,,
"N2-11",1012,"South 80-90",,,,,,,,,,,,,,,
"N2-11",1012,"North 45-55",,,,,,,,,,,,,,,
