"Tree","Geno","Year","Row","Col","Xgal","Csub","Lsp","Chol","Xmon","Pmel","Pads","Pund","Rsp"
"N1.11","T6",2010,1,1,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,1,3,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,1,5,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,1,7,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,1,9,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,2,2,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,2,4,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,2,6,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,2,8,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,2,10,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,3,1,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,3,3,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,3,5,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,3,7,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,3,9,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,4,2,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,4,4,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,4,6,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,4,8,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,4,10,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,5,1,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,5,3,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,5,5,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,5,7,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,5,9,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,6,2,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,6,4,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,6,6,1,0,0,0,0,0,0,0,0
"N1.11","T6",2010,6,8,1,0,0,0,0,0,0,0,0
