"Location","Latitude","Longitude",,,,,
"N1.1",-111.99953400000,41.24679200000,,,,,
"N1.2",-111.99953400000,41.24684300000,,,,,
"N1.3",-111.99953400000,41.24689400000,,,,,
"N1.4",-111.99953400000,41.24694500000,,,,,
"N1.6",-111.99953400000,41.24704700000,,,,,
"N1.8",-111.99953400000,41.24714900000,,,,,
"N1.9",-111.99953400000,41.24720000000,,,,,
"N1.10",-111.99953400000,41.24725100000,,,,,
"N1.11",-111.99953400000,41.24730200000,,,,,
"N1.12",-111.99953400000,41.24735300000,,,,,
"N1.13",-111.99953400000,41.24740400000,,,,,
"N1.14",-111.99953400000,41.24745500000,,,,,
"N1.15",-111.99953400000,41.24750600000,,,,,
"N1.16",-111.99953400000,41.24755700000,,,,,
"N1.17",-111.99953400000,41.24760800000,,,,,
"N1.18",-111.99953400000,41.24765900000,,,,,
"N1.19",-111.99953400000,41.24771000000,,,,,
"N1.20",-111.99953400000,41.24776100000,,,,,
"N1.22",-111.99953400000,41.24786300000,,,,,
"N1.23",-111.99953400000,41.24791400000,,,,,
"N1.27",-111.99953400000,41.24811800000,,,,,
"N1.28",-111.99953400000,41.24816900000,,,,,
"N1.29",-111.99953400000,41.24822000000,,,,,
"N1.31",-111.99953400000,41.24832200000,,,,,
"N1.32",-111.99953400000,41.24837300000,,,,,
"N1.33",-111.99953400000,41.24842400000,,,,,
"N1.34",-111.99953400000,41.24847500000,,,,,
"N1.35",-111.99953400000,41.24852600000,,,,,
"N1.36",-111.99953400000,41.24857700000,,,,,
"N1.37",-111.99953400000,41.24862800000,,,,,
"N1.40",-111.99953400000,41.24878100000,,,,,
"N1.42",-111.99953400000,41.24888300000,,,,,
"N1.44",-111.99953400000,41.24898500000,,,,,
"N1.45",-111.99953400000,41.24903600000,,,,,
"N2.1",-111.99958230000,41.24673300000,,,,,
"N2.2",-111.99958230000,41.24678400000,,,,,
"N2.3",-111.99958230000,41.24683500000,,,,,
"N2.4",-111.99958230000,41.24688600000,,,,,
"N2.5",-111.99958230000,41.24693700000,,,,,
"N2.6",-111.99958230000,41.24698800000,,,,,
"N2.7",-111.99958230000,41.24703900000,,,,,
"N2.8",-111.99958230000,41.24709000000,,,,,
"N2.10",-111.99958230000,41.24719200000,,,,,
"N2.11",-111.99958230000,41.24724300000,,,,,
"N2.12",-111.99958230000,41.24729400000,,,,,
"N2.14",-111.99958230000,41.24739600000,,,,,
"N2.15",-111.99958230000,41.24744700000,,,,,
"N2.16",-111.99958230000,41.24749800000,,,,,
"N2.17",-111.99958230000,41.24754900000,,,,,
"N2.18",-111.99958230000,41.24760000000,,,,,
"N2.19",-111.99958230000,41.24765100000,,,,,
"N2.20",-111.99958230000,41.24770200000,,,,,
"N2.21",-111.99958230000,41.24775300000,,,,,
"N2.22",-111.99958230000,41.24780400000,,,,,
"N2.23",-111.99958230000,41.24785500000,,,,,
"N2.25",-111.99958230000,41.24795700000,,,,,
"N2.27",-111.99958230000,41.24805900000,,,,,
"N2.28",-111.99958230000,41.24811000000,,,,,
"N2.29",-111.99958230000,41.24816100000,,,,,
"N2.33",-111.99958230000,41.24836500000,,,,,
"N2.35",-111.99958230000,41.24846700000,,,,,
"N2.37",-111.99958230000,41.24856900000,,,,,
"N2.38",-111.99958230000,41.24862000000,,,,,
"N2.39",-111.99958230000,41.24867100000,,,,,
"N2.40",-111.99958230000,41.24872200000,,,,,
"N2.41",-111.99958230000,41.24877300000,,,,,
"N2.42",-111.99958230000,41.24882400000,,,,,
"N2.44",-111.99958230000,41.24892600000,,,,,
"N2.45",-111.99958230000,41.24897700000,,,,,
"N2.46",-111.99958230000,41.24902800000,,,,,
"N3.00",-111.99963060000,41.24684300000,,,,,
"N3.1",-111.99963060000,41.24689400000,,,,,
"N3.2",-111.99963060000,41.24694500000,,,,,
"N3.3",-111.99963060000,41.24699600000,,,,,
"N3.4",-111.99963060000,41.24704700000,,,,,
"N3.5",-111.99963060000,41.24709800000,,,,,
"N3.6",-111.99963060000,41.24714900000,,,,,
"N3.7",-111.99963060000,41.24720000000,,,,,
"N3.8",-111.99963060000,41.24725100000,,,,,
"N3.10",-111.99963060000,41.24735300000,,,,,
"N3.11",-111.99963060000,41.24740400000,,,,,
"N3.12",-111.99963060000,41.24745500000,,,,,
"N3.13",-111.99963060000,41.24750600000,,,,,
"N3.14",-111.99963060000,41.24755700000,,,,,
"N3.15",-111.99963060000,41.24760800000,,,,,
"N3.16",-111.99963060000,41.24765900000,,,,,
"N3.17",-111.99963060000,41.24771000000,,,,,
"N3.18",-111.99963060000,41.24776100000,,,,,
"N3.19",-111.99963060000,41.24781200000,,,,,
"N3.20",-111.99963060000,41.24786300000,,,,,
"N3.22",-111.99963060000,41.24796500000,,,,,
"N3.23",-111.99963060000,41.24801600000,,,,,
"N3.24",-111.99963060000,41.24806700000,,,,,
"N3.26",-111.99963060000,41.24816900000,,,,,
"N3.27",-111.99963060000,41.24822000000,,,,,
"N3.28",-111.99963060000,41.24827100000,,,,,
"N3.29",-111.99963060000,41.24832200000,,,,,
"N3.31",-111.99963060000,41.24842400000,,,,,
"N3.32",-111.99963060000,41.24847500000,,,,,
"N3.33",-111.99963060000,41.24852600000,,,,,
"N3.34",-111.99963060000,41.24857700000,,,,,
"N3.35",-111.99963060000,41.24862800000,,,,,
"N3.36",-111.99963060000,41.24867900000,,,,,
"N3.37",-111.99963060000,41.24873000000,,,,,
"N3.39",-111.99963060000,41.24883200000,,,,,
"N4.1",-111.99967360000,41.24746300000,,,,,
"N4.4",-111.99967360000,41.24761600000,,,,,
"N4.5",-111.99967360000,41.24766700000,,,,,
"N4.6",-111.99967360000,41.24771800000,,,,,
"N4.7",-111.99967360000,41.24776900000,,,,,
"N4.8",-111.99967360000,41.24782000000,,,,,
"N4.10",-111.99967360000,41.24792200000,,,,,
"N4.12",-111.99967360000,41.24802400000,,,,,
"N4.13",-111.99967360000,41.24807500000,,,,,
"N4.14",-111.99967360000,41.24812600000,,,,,
"N4.15",-111.99967360000,41.24817700000,,,,,
"N4.16",-111.99967360000,41.24822800000,,,,,
"N4.17",-111.99967360000,41.24827900000,,,,,
"N4.18",-111.99967360000,41.24833000000,,,,,
"N4.19",-111.99967360000,41.24838100000,,,,,
"N4.20",-111.99967360000,41.24843200000,,,,,
"N4.21",-111.99967360000,41.24848300000,,,,,
"N4.22",-111.99967360000,41.24853400000,,,,,
"N4.23",-111.99967360000,41.24858500000,,,,,
"N4.24",-111.99967360000,41.24863600000,,,,,
"N4.25",-111.99967360000,41.24868700000,,,,,
"N4.26",-111.99967360000,41.24873800000,,,,,
"N4.28",-111.99967360000,41.24884000000,,,,,
"N4.29",-111.99967360000,41.24889100000,,,,,
"N4.30",-111.99967360000,41.24894200000,,,,,
"N5.1",-111.99972190000,41.24769250000,,,,,
"N5.2",-111.99972190000,41.24774350000,,,,,
"N5.3",-111.99972190000,41.24779450000,,,,,
"N5.4",-111.99972190000,41.24784550000,,,,,
"N5.5",-111.99972190000,41.24789650000,,,,,
"N5.6",-111.99972190000,41.24794750000,,,,,
"N5.7",-111.99972190000,41.24799850000,,,,,
"N5.9",-111.99972190000,41.24810050000,,,,,
"N5.10",-111.99972190000,41.24815150000,,,,,
"N5.11",-111.99972190000,41.24820250000,,,,,
"N5.12",-111.99972190000,41.24825350000,,,,,
"N5.13",-111.99972190000,41.24830450000,,,,,
"N5.14",-111.99972190000,41.24835550000,,,,,
"N5.15",-111.99972190000,41.24840650000,,,,,
"N5.16",-111.99972190000,41.24845750000,,,,,
"N5.17",-111.99972190000,41.24850850000,,,,,
"N5.18",-111.99972190000,41.24855950000,,,,,
"N5.20",-111.99972190000,41.24866150000,,,,,
"N5.23",-111.99972190000,41.24881450000,,,,,
"N5.24",-111.99972190000,41.24886550000,,,,,
"N5.26",-111.99972190000,41.24896750000,,,,,
"N6.1",-111.99977020000,41.24780000000,,,,,
"N6.2",-111.99977020000,41.24785100000,,,,,
"N6.3",-111.99977020000,41.24790200000,,,,,
"N6.4",-111.99977020000,41.24795300000,,,,,
"N6.5",-111.99977020000,41.24800400000,,,,,
"N6.6",-111.99977020000,41.24805500000,,,,,
"N6.7",-111.99977020000,41.24810600000,,,,,
"N6.8",-111.99977020000,41.24815700000,,,,,
"N6.9",-111.99977020000,41.24820800000,,,,,
"N6.10",-111.99977020000,41.24825900000,,,,,
"N6.11",-111.99977020000,41.24831000000,,,,,
"N6.12",-111.99977020000,41.24836100000,,,,,
"N6.13",-111.99977020000,41.24841200000,,,,,
"N6.14",-111.99977020000,41.24846300000,,,,,
"N6.15",-111.99977020000,41.24851400000,,,,,
"N6.16",-111.99977020000,41.24856500000,,,,,
"N6.17",-111.99977020000,41.24861600000,,,,,
"N6.18",-111.99977020000,41.24866700000,,,,,
"N6.19",-111.99977020000,41.24871800000,,,,,
"N6.21",-111.99977020000,41.24882000000,,,,,
"N6.22",-111.99977020000,41.24887100000,,,,,
"N7.1",-111.99981850000,41.24790750000,,,,,
"N7.2",-111.99981850000,41.24795850000,,,,,
"N7.3",-111.99981850000,41.24800950000,,,,,
"N7.4",-111.99981850000,41.24806050000,,,,,
"N7.5",-111.99981850000,41.24811150000,,,,,
"N7.6",-111.99981850000,41.24816250000,,,,,
"N7.7",-111.99981850000,41.24821350000,,,,,
"N7.8",-111.99981850000,41.24826450000,,,,,
"N7.9",-111.99981850000,41.24831550000,,,,,
"N7.10",-111.99981850000,41.24836650000,,,,,
"N7.12",-111.99981850000,41.24841750000,,41.24841750000,,,41.24862150000
"N7.13",-111.99981850000,41.24846850000,,41.24846850000,,,41.24867250000
"N7.14",-111.99981850000,41.24851950000,,-0.00005100000,,,-0.00005100000
"N7.16",-111.99981850000,41.24857050000,,,,,
"N7.17",-111.99981850000,41.24862150000,,41.24846850000,,,41.24877450000
"N7.18",-111.99981850000,41.24867250000,,41.24851950000,,,41.24882550000
"N7.19",-111.99981850000,41.24872350000,,-0.00005100000,,,-0.00005100000
"N7.20",-111.99981850000,41.24877450000,,,,,
"N7.21",-111.99981850000,41.24882550000,,,,,
"N7.22",-111.99981850000,41.24887650000,,,,,
"N7.23",-111.99981850000,41.24892750000,,,,,
"N8.1",-111.99986680000,41.24859600000,,,,,
"N8.2",-111.99986680000,41.24864700000,,,,,
"N8.5",-111.99986680000,41.24869800000,,,,,
"N8.6",-111.99986680000,41.24874900000,,,,,
"N8.7",-111.99986680000,41.24880000000,,,,,
"N9.1",-111.99991510000,41.24872350000,,,,,
