"tree","geno","c.obs","ses","pval.u","pval.l"
"N1.05","T6",0,0,1,1
"N1.11","T6",0.666666666666667,0.140277769280446,0.9807,1
"N1.40","RL6",0,-2.10648857752495,1,0.1839
"N1.7","T6",0,-1.19251390862029,1,0.0057
"N1.8","1017",0,-3.32369709981051,1,0
"N2.15","1017",1.16666666666667,-2.35819063922363,1,0.0075
"N2.28","WC5",0,-1.83935271127224,1,0.125
"N2.3","1017",0,-2.3697978913884,1,0.028
"N2.31","WC5",8,-2.54191228561855,1,5e-04
"N2.44","RL6",3.16666666666667,-2.31956502833275,1,0.0022
"N3.13","1017",0.5,-1.75124776359321,1,0.0235
"N4.12","WC5",0,-1.24354033654986,1,0.2699
"N4.16","H10",0.9,-0.561077074027704,0.7915,0.7241
"N5.05","1005",0,-2.10287814675601,1,0.0516
"N5.12","1005",9.33333333333333,-2.10224967356442,0.9827,0.0257
"N5.13","1005",7.1904761904762,-2.18708679811366,0.9819,0.0181
"N6.16","RL6",1.46666666666667,-2.97177936242171,1,0
"N6.4","H10",3.9,1.0627065114244,0.3801,1
"N6.6","1005",0,-1.22868678000931,1,0.0117
"N7.7","H10",1.66666666666667,-1.76270218986612,0.994,0.0832
"N7.8","WC5",6,-1.39848649612531,0.9799,0.0295
