"Tree","Geno","Row","Col","Xgal","Csub","Lsp","Chol","Xmon","Pmel","Pads","Pund","Rsp"
"N1.11","T6",1,1,1,0,0,0,0,0,0,0,0
"N1.11","T6",1,3,1,0,0,0,0,0,0,0,0
"N1.11","T6",1,5,1,0,0,0,0,0,0,0,0
"N1.11","T6",1,7,1,0,0,0,0,0,0,0,0
"N1.11","T6",1,9,1,0,0,0,0,0,0,0,0
"N1.11","T6",2,2,1,0,0,0,0,0,0,0,0
"N1.11","T6",2,4,1,0,0,0,0,0,0,0,0
"N1.11","T6",2,6,1,0,0,0,0,0,0,0,0
"N1.11","T6",2,8,1,0,0,0,0,0,0,0,0
"N1.11","T6",2,10,1,0,0,0,0,0,0,0,0
"N1.11","T6",3,1,1,0,0,0,0,0,0,0,0
"N1.11","T6",3,3,1,0,0,0,0,0,0,0,0
"N1.11","T6",3,5,1,0,0,0,0,0,0,0,0
"N1.11","T6",3,7,1,0,0,0,0,0,0,0,0
"N1.11","T6",3,9,1,0,0,0,0,0,0,0,0
"N1.11","T6",4,2,1,0,0,0,0,0,0,0,0
"N1.11","T6",4,4,1,0,0,0,0,0,0,0,0
"N1.11","T6",4,6,1,0,0,0,0,0,0,0,0
"N1.11","T6",4,8,1,0,0,0,0,0,0,0,0
"N1.11","T6",4,10,1,0,0,0,0,0,0,0,0
"N1.11","T6",5,1,1,0,0,0,0,0,0,0,0
"N1.11","T6",5,3,1,0,0,0,0,0,0,0,0
"N1.11","T6",5,5,1,0,0,0,0,0,0,0,0
"N1.11","T6",5,7,1,0,0,0,0,0,0,0,0
"N1.11","T6",5,9,1,0,0,0,0,0,0,0,0
"N1.11","T6",6,2,1,0,0,0,0,0,0,0,0
"N1.11","T6",6,4,1,0,0,0,0,0,0,0,0
"N1.11","T6",6,6,1,0,0,0,0,0,0,0,0
"N1.11","T6",6,8,1,0,0,0,0,0,0,0,0
"N1.11","T6",6,10,1,1,0,0,0,0,0,0,0
"N1.11","T6",7,1,1,0,0,0,0,0,0,0,0
"N1.11","T6",7,3,1,0,0,0,0,0,0,0,0
"N1.11","T6",7,5,1,0,0,0,0,0,0,0,0
"N1.11","T6",7,7,1,0,0,0,0,0,0,0,0
"N1.11","T6",7,9,1,0,0,0,0,0,0,0,0
"N1.11","T6",8,2,1,0,0,0,0,0,0,0,0
"N1.11","T6",8,4,1,0,0,0,0,0,0,0,0
"N1.11","T6",8,6,1,0,0,0,0,0,0,0,0
"N1.11","T6",8,8,1,0,0,0,0,0,0,0,0
"N1.11","T6",8,10,1,1,0,0,0,0,0,0,0
"N1.11","T6",9,1,1,0,0,0,0,0,0,0,0
"N1.11","T6",9,3,1,0,0,0,0,0,0,0,0
"N1.11","T6",9,5,1,0,0,0,0,0,0,0,0
"N1.11","T6",9,7,1,0,0,0,0,0,0,0,0
"N1.11","T6",9,9,1,0,0,0,0,0,0,0,0
"N1.11","T6",10,2,1,0,0,0,0,0,0,0,0
"N1.11","T6",10,4,1,0,0,0,0,0,0,0,0
"N1.11","T6",10,6,1,0,0,0,0,0,0,0,0
"N1.11","T6",10,8,1,0,0,0,0,0,0,0,0
"N1.11","T6",10,10,1,0,0,0,0,0,0,1,0
"N1.05","T6",1,1,0,0,0,0,0,0,0,0,0
"N1.05","T6",1,3,0,0,0,0,0,0,0,0,0
"N1.05","T6",1,5,1,0,0,0,0,0,0,0,0
"N1.05","T6",1,7,0,0,0,0,0,0,0,0,0
"N1.05","T6",1,9,1,0,0,0,0,0,0,0,0
"N1.05","T6",2,2,1,0,0,0,0,0,0,0,0
"N1.05","T6",2,4,1,0,0,0,0,0,0,0,0
"N1.05","T6",2,6,1,0,0,0,0,0,0,0,0
"N1.05","T6",2,8,1,0,0,0,0,0,0,0,0
"N1.05","T6",2,10,0,0,0,0,0,0,0,0,0
"N1.05","T6",3,1,0,0,0,0,0,0,0,0,0
"N1.05","T6",3,3,1,0,0,0,0,0,0,0,0
"N1.05","T6",3,5,1,0,0,0,0,0,0,0,0
"N1.05","T6",3,7,1,0,0,0,0,0,0,0,0
"N1.05","T6",3,9,1,0,0,0,0,0,0,0,0
"N1.05","T6",4,2,0,0,0,0,0,0,0,0,0
"N1.05","T6",4,4,1,0,0,0,0,0,0,0,0
"N1.05","T6",4,6,1,0,0,0,0,0,0,0,0
"N1.05","T6",4,8,1,0,0,0,0,0,0,0,0
"N1.05","T6",4,10,1,0,0,0,0,0,0,0,0
"N1.05","T6",5,1,1,0,0,0,0,0,0,0,0
"N1.05","T6",5,3,1,0,0,0,0,0,0,0,0
"N1.05","T6",5,5,1,0,0,0,0,0,0,0,0
"N1.05","T6",5,7,1,0,0,0,0,0,0,0,0
"N1.05","T6",5,9,1,0,0,0,0,0,0,0,0
"N1.05","T6",6,2,1,0,0,0,0,0,0,0,0
"N1.05","T6",6,4,1,0,0,0,0,0,0,0,0
"N1.05","T6",6,6,1,0,0,0,0,0,0,0,0
"N1.05","T6",6,8,1,0,0,0,0,0,0,0,0
"N1.05","T6",6,10,1,0,0,0,0,0,0,0,0
"N1.05","T6",7,1,1,0,0,0,0,0,0,0,0
"N1.05","T6",7,3,1,0,0,0,0,0,0,0,0
