Tree ID,Acacon,Acasup,Acaobp,Sterile sp,Brown cr,Lobalp,Canros,Calare,Phydub,Rhichr,Xanlin,Xanpli,Xanele,GrBr cr,Gray cr,Synrur,Cerpur/Bryarg
1RA % cover,0.00,0.17,0.00,0.06,0.00,0.00,0.35,0.06,0.00,0.56,0.41,0.15,0.00,0.00,0.00,0.00,0.00
1SA % cover,0.00,0.19,0.00,0.00,0.00,0.00,0.33,0.02,0.00,2.85,0.96,0.26,0.00,0.00,0.04,1.70,0.00
2RA % cover,0.02,0.22,0.06,0.00,0.00,0.02,0.31,0.06,0.19,0.07,0.78,0.00,0.00,0.00,0.00,0.24,0.00
2SA % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,1.63,0.00,0.00,0.00,0.00,0.00
3RA % cover,0.15,0.11,0.00,0.00,0.00,0.00,0.39,0.07,0.04,0.00,0.02,0.52,0.00,0.00,0.00,0.00,0.00
3SA % cover,0.00,0.00,0.02,0.00,0.00,0.00,0.07,0.02,0.00,0.19,0.48,0.56,0.00,0.00,0.00,0.00,0.00
4RA % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4SA % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.00,0.22,0.19,0.00,0.00,0.00,0.00,0.00,0.00
5RA % cover,0.02,0.02,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.07,0.00,0.89,0.00,0.00,0.00,0.00,0.00
5SA % cover,0.00,0.09,0.00,0.00,0.00,0.00,0.26,0.00,0.09,0.07,5.57,0.07,0.11,0.04,0.04,0.00,0.00
6RA % cover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6SA % cover,0.00,0.07,0.00,0.00,0.00,0.00,0.87,0.00,0.07,0.00,5.30,0.30,0.00,0.00,0.00,0.00,0.00
7RA % cover,0.00,0.31,0.04,0.00,0.00,0.04,1.09,0.04,0.85,0.41,2.56,0.00,0.24,0.00,0.07,0.00,0.11
7SA % cover,0.00,0.06,0.00,0.00,0.00,0.00,0.26,0.00,0.06,0.48,0.19,0.00,0.00,0.00,0.00,0.00,0.00
8RA % cover,0.04,1.00,0.15,0.00,0.00,0.00,1.43,0.00,0.41,1.07,5.93,0.00,0.81,0.00,0.00,0.11,0.41
8SA % cover,0.02,0.48,0.04,0.00,0.00,0.00,0.02,0.00,0.00,0.04,0.00,0.74,0.00,0.00,0.00,0.00,0.00
9RA % cover,0.00,0.09,8.00,0.00,0.00,0.00,0.56,0.00,0.11,0.59,1.19,0.26,0.15,0.00,0.00,0.19,0.00
9SA % cover,0.00,0.04,0.00,0.00,0.00,0.00,0.06,0.00,0.04,0.57,1.13,0.00,0.15,0.00,0.00,0.00,0.00
10RA % cover,0.11,0.35,0.00,0.00,0.00,0.00,1.37,0.00,0.20,0.56,3.76,0.00,0.02,0.00,0.00,0.04,0.00
