Tree pairs,Moth,Live/Dead,Litter %,Big rocks %,Small rocks %,Shrubs %,Grass %,Branches %,Light % N,Light % S,Light % average,Acacon,Acasup,Acaobp,Sterile sp,Brown cr,Lobalp,Canros,Calare,Phydub,Rhichr,Xanlin,Xanpli,Xanele,GrBr cr,Gray cr,Synrur,Cerpur/Bryarg
1,1,1,87.41,10.74,0.00,1.85,0.00,0.00,27.20,12.80,20.00,0.00,0.17,0.00,0.06,0.00,0.00,0.35,0.06,0.00,0.56,0.41,0.15,0.00,0.00,0.00,0.00,0.00
1,0,1,86.85,13.15,0.00,0.00,0.00,0.00,8.00,5.00,6.50,0.00,0.19,0.00,0.00,0.00,0.00,0.33,0.02,0.00,2.85,0.96,0.26,0.00,0.00,0.04,1.70,0.00
2,1,1,75.22,13.11,11.67,0.00,0.00,0.00,34.40,38.00,36.20,0.02,0.22,0.06,0.00,0.00,0.02,0.31,0.06,0.19,0.07,0.78,0.00,0.00,0.00,0.00,0.24,0.00
2,0,1,95.26,4.74,0.00,0.00,0.00,0.00,19.00,21.80,20.40,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,1.63,0.00,0.00,0.00,0.00,0.00
3,1,1,89.74,10.26,0.00,0.00,0.00,0.00,31.50,44.60,38.05,0.15,0.11,0.00,0.00,0.00,0.00,0.39,0.07,0.04,0.00,0.02,0.52,0.00,0.00,0.00,0.00,0.00
3,0,1,91.04,8.96,0.00,0.00,0.00,0.00,10.80,12.00,11.40,0.00,0.00,0.02,0.00,0.00,0.00,0.07,0.02,0.00,0.19,0.48,0.56,0.00,0.00,0.00,0.00,0.00
4,1,1,99.07,0.00,0.00,0.93,0.00,0.00,23.10,27.20,25.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,1,98.22,1.78,0.00,0.00,0.00,0.00,20.80,16.80,18.80,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.00,0.22,0.19,0.00,0.00,0.00,0.00,0.00,0.00
5,1,1,96.26,1.89,0.00,1.85,0.00,0.00,26.10,27.50,26.80,0.02,0.02,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.07,0.00,0.89,0.00,0.00,0.00,0.00,0.00
5,0,1,80.41,15.33,0.00,0.00,0.00,4.26,10.80,6.00,8.40,0.00,0.09,0.00,0.00,0.00,0.00,0.26,0.00,0.09,0.07,5.57,0.07,0.11,0.04,0.04,0.00,0.00
6,1,1,100.00,0.00,0.00,0.00,0.00,0.00,16.10,43.00,29.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,1,80.07,19.93,0.00,0.00,0.00,0.00,10.60,19.90,15.25,0.00,0.07,0.00,0.00,0.00,0.00,0.87,0.00,0.07,0.00,5.30,0.30,0.00,0.00,0.00,0.00,0.00
7,1,1,87.78,12.22,0.00,0.00,0.00,0.00,25.40,34.00,29.70,0.00,0.31,0.04,0.00,0.00,0.04,1.09,0.04,0.85,0.41,2.56,0.00,0.24,0.00,0.07,0.00,0.11
7,0,1,82.59,17.41,0.00,0.00,0.00,0.00,6.10,15.70,10.90,0.00,0.06,0.00,0.00,0.00,0.00,0.26,0.00,0.06,0.48,0.19,0.00,0.00,0.00,0.00,0.00,0.00
