Tree ID,Q,C,Litter,Rocks > 3cm_,Rocks < 3cm_,Shrubs,Grass,Branches
1RA,Q1,A1,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q1,A2,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q1,A3,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q1,B1,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q1,B2,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q1,B3,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q1,C1,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q1,C2,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q1,C3,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q2,A1,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q2,A2,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q2,A3,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q2,B1,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q2,B2,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q2,B3,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q2,C1,70.0,30.0,0.0,0.0,0.0,0.0
1RA,Q2,C2,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q2,C3,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q3,A1,100.0,0.0,0.0,0.0,0.0,0.0
1RA,Q3,A2,90.0,10.0,0.0,0.0,0.0,0.0
1RA,Q3,A3,97.0,3.0,0.0,0.0,0.0,0.0
1RA,Q3,B1,50.0,0.0,0.0,50.0,0.0,0.0
1RA,Q3,B2,98.0,2.0,0.0,0.0,0.0,0.0
1RA,Q3,B3,10.0,90.0,0.0,0.0,0.0,0.0
1RA,Q3,C1,75.0,25.0,0.0,0.0,0.0,0.0
1RA,Q3,C2,30.0,70.0,0.0,0.0,0.0,0.0
1RA,Q3,C3,40.0,60.0,0.0,0.0,0.0,0.0
1RA % cover,,,87.41,10.74,0.00,1.85,0.00,0.00
1RD,Q1,A1,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q1,A2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q1,A3,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q1,B1,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q1,B2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q1,B3,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q1,C1,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q1,C2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q1,C3,90.0,10.0,0.0,0.0,0.0,0.0
1RD,Q2,A1,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q2,A2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q2,A3,95.0,5.0,0.0,0.0,0.0,0.0
1RD,Q2,B1,95.0,5.0,0.0,0.0,0.0,0.0
1RD,Q2,B2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q2,B3,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q2,C1,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q2,C2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q2,C3,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q3,A1,80.0,20.0,0.0,0.0,0.0,0.0
1RD,Q3,A2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q3,A3,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q3,B1,40.0,60.0,0.0,0.0,0.0,0.0
1RD,Q3,B2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q3,B3,85.0,15.0,0.0,0.0,0.0,0.0
1RD,Q3,C1,50.0,50.0,0.0,0.0,0.0,0.0
1RD,Q3,C2,100.0,0.0,0.0,0.0,0.0,0.0
1RD,Q3,C3,85.0,15.0,0.0,0.0,0.0,0.0
1RD % cover,,,93.33,6.67,0.00,0.00,0.00,0.00
1SA,Q1,A1,0.0,100.0,0.0,0.0,0.0,0.0
1SA,Q1,A2,10.0,90.0,0.0,0.0,0.0,0.0
1SA,Q1,A3,50.0,50.0,0.0,0.0,0.0,0.0
1SA,Q1,B1,75.0,25.0,0.0,0.0,0.0,0.0
1SA,Q1,B2,90.0,10.0,0.0,0.0,0.0,0.0
1SA,Q1,B3,70.0,30.0,0.0,0.0,0.0,0.0
1SA,Q1,C1,95.0,5.0,0.0,0.0,0.0,0.0
1SA,Q1,C2,85.0,15.0,0.0,0.0,0.0,0.0
1SA,Q1,C3,75.0,25.0,0.0,0.0,0.0,0.0
1SA,Q2,A1,100.0,0.0,0.0,0.0,0.0,0.0
1SA,Q2,A2,100.0,0.0,0.0,0.0,0.0,0.0
1SA,Q2,A3,100.0,0.0,0.0,0.0,0.0,0.0
1SA,Q2,B1,100.0,0.0,0.0,0.0,0.0,0.0
1SA,Q2,B2,95.0,5.0,0.0,0.0,0.0,0.0
1SA,Q2,B3,100.0,0.0,0.0,0.0,0.0,0.0
1SA,Q2,C1,100.0,0.0,0.0,0.0,0.0,0.0
1SA,Q2,C2,100.0,0.0,0.0,0.0,0.0,0.0
1SA,Q2,C3,100.0,0.0,0.0,0.0,0.0,0.0
