,Trunk,Trunk,Trunk,Crown spread (cm),,,,,,,,Average radius,Average radius,Area incl,Area excl,Proportion of surveyed
Tree ID,Circ (cm),Diam (cm),Radius (cm),N,NW,W,SW,S,SE,E,NE,with trunk (cm),without trunk (cm),trunk (cm?),trunk (cm?),crown area (%)
1RA,155,49.3,24.7,490,490,440,430,500,410,400,420,472.2,447.5,700397.9,629123.6,1.19
1SA ,115,36.6,18.3,420,240,285,270,340,390,430,250,346.4,328.1,377029.6,338242.8,2.22
2RA ,150,47.7,23.9,320,270,220,220,420,350,280,350,327.6,303.8,337209.1,289856.1,2.59
2SA ,150,47.7,23.9,340,370,270,280,310,310,310,290,333.9,310.0,350197.5,301907.1,2.48
3RA ,135,43.0,21.5,330,270,330,310,290,340,320,330,336.5,315.0,355699.8,311724.5,2.41
3SA ,110,35.0,17.5,240,240,210,280,280,230,310,260,273.8,256.3,235440.1,206289.7,3.64
4RA ,115,36.6,18.3,340,390,270,210,320,330,290,380,334.6,316.3,351624.6,314203.4,2.39
4SA ,150,47.7,23.9,250,290,400,400,380,320,310,350,361.4,337.5,410262.5,357847.0,2.10
5RA ,140,44.6,22.3,350,330,320,300,370,430,250,370,362.3,340.0,412327.8,363168.1,2.07
5SA ,135,43.0,21.5,210,240,220,230,250,220,200,190,241.5,220.0,183203.4,152053.1,4.93
6RA ,150,47.7,23.9,400,290,350,440,480,500,460,520,453.9,430.0,647171.0,580880.5,1.29
6SA ,135,43.0,21.5,310,240,340,370,310,320,290,200,319.0,297.5,319663.4,278050.6,2.70
7RA ,140,44.6,22.3,190,360,350,470,470,450,360,380,401.0,378.8,505251.1,450666.4,1.66
7SA ,105,33.4,16.7,280,250,220,210,230,260,200,260,255.5,238.8,205021.8,179075.7,4.19
8RA ,140,44.6,22.3,260,300,350,360,270,380,330,400,353.5,331.3,392650.9,344716.2,2.18
8SA ,120,38.2,19.1,220,240,170,190,140,160,170,240,210.3,191.3,139004.6,114908.7,6.53
9RA ,90,28.6,14.3,240,160,140,160,190,250,210,240,213.1,198.8,142629.9,124097.8,6.04
9SA ,80,25.5,12.7,250,210,270,270,290,230,280,290,274.0,261.3,235827.9,214418.6,3.50
10RA ,105,33.4,16.7,280,270,230,310,260,250,250,230,276.7,260.0,240549.0,212371.7,3.53
10SA ,90,28.6,14.3,200,220,260,270,260,270,210,170,246.8,232.5,191392.3,169822.7,4.42
11RA ,170,54.1,27.1,490,370,220,90,280,390,500,430,373.3,346.3,437804.9,376642.6,1.99
11SA ,140,44.6,22.3,220,270,250,230,310,280,250,250,279.8,257.5,245916.9,208307.2,3.60
12RA ,190,60.5,30.2,460,550,410,420,410,550,340,420,475.2,445.0,709536.6,622113.9,1.21
